ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46
0,264,12,346,139,53,147,78,53,78,147,53,147,53,53,53,53,53,53,53,53,53,53,53,53,53,78,53,53,78,147,53,147,53,53,78,78,53,53,53,53,91,53,53,283,53,53,91
1,179,390,329,303,53,53,53,53,53,53,53,147,53,53,53,53,147,53,53,53,53,53,53,53,91,53,53,147,147,53,53,53,53,53,147,53,53,53,53,53,53,53,53,53,53,53,53
2,580,263,149,147,91,263,53,53,263,53,53,53,263,53,53,53,53,53,53,53,53,53,53,53,53,53,102,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,91,53
3,808,347,6,347,347,208,347,295,295,347,208,295,295,347,347,347,295,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,308,347,347,347,347,347,347,347,347,308,347,330,347,347,385
4,319,463,213,132,220,290,290,290,290,187,187,347,347,347,144,287,347,347,287,347,347,347,187,361,347,287,347,178,287,287,347,178,347,287,347,178,347,178,347,347,347,347,347,308,347,347,178
5,479,6,6,347,174,281,208,179,347,208,53,347,347,347,347,347,347,347,202,347,347,347,347,347,347,347,347,347,347,347,295,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,281,243,245,334,223,170,144,144,65,295,220,65,295,295,295,65,309,65,360,65,309,309,360,360,360,65,360,360,360,360,360,360,360,65,360,132,65,65,360,65,360,360,170,360,360,360,360
7,805,654,213,309,309,309,309,309,132,295,166,360,360,309,274,100,360,213,274,309,274,274,360,360,360,360,205,384,360,379,309,100,205,95,379,68,379,309,309,379,98,98,379,384,384,384,384
8,463,149,149,385,179,323,297,323,208,223,297,223,347,347,223,347,224,41,53,202,53,53,202,53,364,295,295,53,53,208,53,130,385,53,208,53,53,53,385,385,385,385,385,385,366,385,385
9,139,328,52,125,280,280,21,21,21,21,125,125,125,125,125,87,125,125,125,125,125,125,125,125,113,125,125,125,125,125,125,51,261,87,125,125,242,125,125,87,125,125,125,125,125,87,125
10,69,108,118,173,214,21,21,21,391,21,21,21,21,622,21,632,368,11,113,475,587,757,632,632,142,632,534,236,462,534,21,462,534,313,763,765,217,587,87,534,164,765,87,587,260,587,170
11,255,241,139,200,78,364,23,86,78,356,78,283,203,261,203,80,261,225,261,261,261,261,203,203,203,203,203,203,225,203,203,203,203,203,203,203,15,15,203,203,203,203,15,203,203,15,203
12,333,196,4,15,109,15,15,15,15,203,87,15,15,15,15,203,15,15,15,203,203,203,80,203,203,203,203,261,203,203,203,15,15,15,139,15,15,261,15,203,86,87,203,139,15,15,15
13,87,356,620,390,342,390,51,51,51,139,87,80,139,261,51,139,51,462,139,15,51,139,15,203,261,15,51,87,203,203,87,203,80,80,51,51,51,87,15,125,203,203,15,125,51,80,80
14,87,191,88,115,390,15,15,15,15,15,15,15,15,15,15,15,15,15,225,15,15,15,15,15,15,15,15,15,15,225,15,225,225,15,15,203,15,225,225,225,225,86,225,15,15,15,203
15,131,86,203,342,203,203,203,203,203,203,203,139,86,139,139,86,86,139,203,139,203,203,203,203,203,203,203,139,203,139,203,139,203,203,203,203,203,139,203,203,203,203,203,139,203,139,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,139,139,203,203,203,203,203,139,203,203,203,139,203,203,203,139,203
17,21,703,23,203,80,203,78,203,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
18,652,713,178,188,190,339,131,231,231,231,231,231,35,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,35,231,231,231,231,231,231,231,231,231,231,231
19,223,42,30,6,245,35,6,231,231,231,212,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,255,171,213,381,231,346,35,364,131,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,663,755,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,649,368,368,368,368,368,368,368,644,368,368,368,368,368
22,382,382,401,325,253,211,142,236,797,236,797,368,236,368,368,368,368,807,368,368,368,368,368,368,368,368,802,798,368,368,368,368,368,802,368,368,368,368,368,368,368,368,368,368,802,802,368
23,608,512,368,110,689,368,368,368,368,368,368,368,562,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,506,368,466,368,368,368,368,562,368,368
24,10,290,88,80,260,80,101,80,80,137,101,254,254,80,101,254,80,80,101,101,101,80,80,80,101,254,80,80,80,101,101,80,80,80,254,101,254,80,80,80,80,254,80,254,254,80,80
25,192,223,152,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,113,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,19,233,400,101,137,50,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,243,381,130,20,148,297,223,223,297,366,339,162,323,323,162,211,162,297,323,323,227,323,227,323,297,306,227,323,306,227,227,223,223,297,297,323,306,323,227,323,227,306,227,297,306,297,306
28,712,747,53,339,283,162,162,361,323,136,136,136,136,136,136,136,323,188,323,188,323,323,323,323,286,162,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,381,102,385,41,323,381,148,263,364,364,364,323,364,323,323,147,323,378,303,75,378,378,303,130,295,147,143,147,364,378,195,147,75,297,147,323,323,323,323,378,147,303,130,303,323,378,378
30,68,370,84,274,245,84,245,84,245,245,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,49,84,84,404,245,84,84,106,106,106,84,84,84,84,404,84,84,84,84,84,404,84
31,252,800,195,22,121,245,224,224,224,224,224,224,224,224,224,245,245,6,121,224,245,121,245,339,132,245,245,245,245,245,0,245,132,132,174,35,396,132,174,132,35,6,131,132,132,132,132
32,184,306,84,84,245,245,245,245,245,84,245,245,245,187,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,6,245,245,245,245,245,245,184,245,0,245,245,245,184,245,245,245
33,425,128,669,194,794,128,581,36,36,36,671,36,258,321,384,194,321,671,43,364,794,321,794,43,702,321,794,321,36,364,794,671,36,36,794,128,671,128,43,128,321,321,364,321,321,68,364
34,86,177,362,321,177,362,36,177,36,321,177,321,321,36,177,321,177,362,321,321,321,177,177,362,321,321,321,321,321,321,321,321,321,321,36,177,177,321,321,321,321,321,321,321,321,321,177
35,434,604,321,194,261,194,128,127,321,321,127,321,364,321,321,321,378,127,321,364,321,321,321,230,378,378,321,378,378,321,321,321,321,194,194,378,321,194,321,321,378,378,378,321,321,321,211
36,547,371,195,112,31,270,270,270,270,184,270,270,14,270,270,270,184,270,270,270,228,270,270,290,270,270,270,270,200,270,270,270,270,270,270,270,270,270,270,200,270,270,270,270,270,290,270
37,206,20,440,292,306,306,212,270,270,270,306,341,270,270,232,270,270,270,270,270,270,270,270,270,270,270,270,14,14,14,270,14,270,14,270,270,270,270,14,270,270,14,14,270,270,270,178
38,421,421,314,56,381,162,394,14,84,84,45,45,45,45,45,45,119,45,45,197,45,328,45,45,45,45,96,45,205,11,205,96,353,328,45,353,82,394,197,96,205,96,197,96,394,167,353
39,656,235,31,250,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,31,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,432,220,46,132,111,309,100,309,100,166,131,303,303,35,100,100,147,162,224,162,367,166,162,162,327,162,127,36,143,367,162,127,36,100,367,227,224,367,367,303,227,166,166,227,166,227,327
