ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46
0,5350,4129,6204,1380,1899,123,285,2695,123,2811,2695,1395,3133,2423,1858,451,2695,3133,2695,1858,2695,2906,1858,1858,2695,1788,1858,2695,1858,2695,2906,1858,1858,1858,2695,3209,1783,2695,419,1782,451,2906,451,451,451,2695,1782
1,5350,4129,1499,2634,1899,3464,285,1272,123,1858,2695,1272,3133,3052,1858,451,2695,3133,2695,1858,2695,2906,1858,2695,2695,1471,1858,2695,77,2695,2382,1782,775,2695,2695,3209,2172,2695,2695,775,1782,3209,451,386,775,52,1782
2,5350,4297,6204,1380,1899,419,285,3518,1474,2263,2695,1734,3133,3133,1233,451,3133,3133,1782,1858,3133,2906,1782,3133,2695,888,1858,2695,3133,2695,1783,1782,775,3209,2695,3209,1783,1233,3133,1782,1782,3209,451,1233,1233,52,1782
3,5350,212,697,3383,2118,1646,2732,737,2825,395,2509,1919,1222,1646,2135,1672,833,833,1080,1080,2378,833,3477,3353,2378,174,2378,833,174,1080,2378,3406,2378,833,2378,1807,1080,2644,2509,86,833,1664,2644,2378,2378,2644,833
4,5350,212,697,1032,2586,2422,1177,2264,1837,1807,1118,2819,2031,1837,235,6,2907,2907,2067,1837,2737,2191,2383,1160,3444,2863,1837,1739,2907,1837,1994,2737,2737,6,2737,2383,2737,340,569,3444,2907,2737,2737,2737,2737,2737,2737
5,5350,212,697,3477,1498,1646,2378,2061,2624,1653,2509,1919,3120,1646,1919,174,833,3420,2230,3444,2378,3406,2378,2230,174,174,2578,86,174,530,2230,3406,174,3444,3444,2383,3406,3444,2230,3444,3444,3444,1807,3393,3420,3406,3406
6,5350,1126,697,39,106,535,2573,2378,2946,2569,1364,3243,3243,3243,3243,3243,3243,2578,3243,2732,2378,1566,3243,3243,3263,2578,1566,3243,3243,3243,3049,1566,1566,3243,2585,2732,113,2578,665,2732,1674,430,2585,2732,430,3243,2585
7,5350,212,697,3383,2118,3195,3184,350,1602,2995,612,1526,700,1974,1412,3340,1887,1887,2473,1428,1579,2324,1073,3340,1073,3184,3340,1579,1579,700,1579,1887,1579,700,1579,1579,700,700,2473,700,2473,1579,2840,1579,1656,370,2389
8,5350,4297,1499,1380,3070,1780,2196,3106,1780,1977,2288,477,1752,2969,3106,3406,3406,133,1977,407,1752,133,133,3106,133,1752,3406,1584,133,3459,133,2211,1752,133,2211,2230,2211,3106,133,3106,133,1584,133,3406,133,3106,3106
9,5350,2120,3389,1216,2065,2927,2927,3480,550,1480,2865,2865,1480,3098,1480,1712,3231,3025,1798,987,1480,3231,3280,1712,589,1480,1480,1524,2603,1480,1524,1524,1924,2603,3231,1480,2603,1480,1524,1480,1480,2359,1712,1480,3315,2603,3441
