ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46
0,6492,6563,1063,6563,660,4681,4681,4681,812,812,812,3208,3208,3208,2882,2882,2882,2882,1788,1788,1788,1788,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695
1,3008,542,1063,247,247,247,247,812,812,812,812,3208,3208,3208,3208,1265,1265,821,821,821,821,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2906,769
2,3008,1063,1063,1063,1063,4681,4681,812,812,812,812,848,848,848,848,848,2231,2382,2695,2695,2695,2695,2695,2695,2695,2695,2695,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,1782,1782,1782,1782
3,4964,1063,1063,1063,1063,1063,812,812,812,812,812,812,3208,1432,1265,1265,1265,1265,3389,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2644,2644
4,3008,1063,1063,1063,5345,5345,585,585,5575,812,812,812,812,812,691,691,691,1265,1265,1205,458,1118,1118,1118,1118,1118,1118,1118,1118,1118,2907,2907,2907,2907,2907,2907,2907,2907,2907,3444,3444,3444,3444,3444,3292,3292,3292
5,4964,1063,1063,1063,1063,1063,812,812,812,812,812,3208,3208,1265,1265,1265,1265,781,781,781,1695,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,3444,3444,3444,3444,3444,3444,3444,3444,3444,3444,3444,3444,3444,3444
6,3008,1063,1063,1063,1063,1063,585,812,812,812,812,3208,1265,1265,1265,1030,1030,3421,3421,3421,3421,1427,1427,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,2732,2732,2732,2732,1566,1566,1566,1566
7,4964,1063,1063,1063,1063,1063,4681,812,812,812,812,1432,1432,1432,1265,1265,1265,1265,2917,2917,2917,3340,3340,3340,3340,3340,3340,3340,3340,1556,1556,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579
8,4964,1063,1063,1063,5345,2091,4681,812,812,812,812,1432,1432,1265,663,663,1502,1502,911,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
9,3008,1063,1063,247,247,247,247,812,812,812,812,812,812,812,3208,3208,1119,1119,2141,2098,2098,2098,2098,2098,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
