ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42
0,173,619,494,534,534,32,91,351,22,513,22,351,648,648,648,648,648,78,577,539,525,444,741,569,426,797,416,101,364,444,101,800,303,543,800,51,203,800,203,203,147,147,147
1,682,414,626,181,446,347,141,399,329,399,581,770,770,303,770,770,770,770,770,770,770,770,335,770,36,347,203,329,203,641,280,346,764,764,764,303,186,764,764,764,577,348,53
2,455,747,518,12,190,245,139,528,86,86,86,19,78,346,149,149,303,303,257,362,362,362,147,178,257,362,257,346,257,257,257,257,147,147,257,257,339,257,75,22,257,339,257
3,158,174,174,25,366,465,712,347,347,347,347,347,190,347,347,6,6,334,334,334,334,347,347,347,187,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,193,533,42,470,569,166,303,11,280,231,30,231,213,213,216,231,263,213,231,334,231,213,121,93,334,131,463,131,220,131,334,88,88,309,6,91,6,6,6,185,185,185,185
5,773,675,695,547,486,601,149,362,42,26,6,6,6,6,493,6,225,245,6,6,362,294,334,347,347,225,294,295,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,160,237,367,137,91,281,281,366,366,49,366,174,366,366,11,310,105,297,303,297,105,105,179,303,156,303,105,97,303,295,303,97,97,137,137,65,65,303,65,65,206,65,65
7,19,717,104,263,125,231,5,6,104,340,174,231,223,263,295,213,295,295,295,360,295,42,42,295,308,218,79,79,213,323,323,323,323,323,190,190,23,213,213,190,213,213,213
8,95,42,303,276,26,5,702,190,399,139,19,187,257,88,257,53,23,385,23,187,148,257,23,768,295,257,23,263,295,263,203,257,339,263,339,19,263,339,385,148,385,70,339
9,515,515,753,811,493,243,515,588,312,417,600,667,6,807,365,523,312,224,388,282,106,192,34,192,326,106,106,106,106,192,125,68,253,34,34,34,275,41,68,68,275,65,68
10,282,282,282,170,318,543,198,352,158,186,689,485,485,693,588,588,363,29,29,356,229,543,80,243,29,125,587,780,29,255,477,459,459,29,80,254,80,80,459,125,80,125,386
11,220,220,220,440,171,117,93,256,580,161,624,638,236,139,361,283,290,290,139,385,290,290,353,139,30,139,290,290,136,361,290,136,136,136,136,41,136,400,361,385,400,400,41
12,313,794,208,390,264,3,87,159,97,97,314,33,342,399,196,241,251,259,97,251,285,285,285,259,333,102,241,103,259,333,23,399,314,82,241,97,97,399,399,97,97,143,251
13,39,320,741,79,245,228,303,277,51,225,87,87,87,82,281,345,345,281,345,281,93,51,390,87,82,82,390,345,66,82,82,284,87,87,87,168,3,87,87,82,87,87,87
14,244,32,106,459,86,288,49,384,141,49,366,285,285,45,337,45,45,576,103,177,51,141,337,576,141,87,576,141,141,576,45,143,378,378,378,337,337,378,399,378,269,399,378
15,693,693,693,55,401,26,372,79,625,147,80,656,709,362,232,312,729,729,303,346,342,800,346,362,548,362,362,741,339,53,800,770,770,147,86,800,800,714,203,342,339,342,342
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,464,121,390,280,310,351,339,503,251,251,275,703,347,149,251,251,66,251,297,366,303,396,378,396,303,303,346,364,725,399,169,346,78,78,216,472,186,78,170,472,203,101,113
18,276,391,93,649,240,0,68,60,398,150,140,327,713,255,255,713,713,713,190,295,295,713,295,318,339,295,334,713,327,295,22,165,268,132,400,132,78,334,318,190,318,334,334
19,223,578,34,295,269,252,553,247,119,185,119,774,554,774,532,463,532,774,477,774,362,362,362,362,362,744,362,532,365,42,532,532,213,532,532,362,532,532,362,532,362,362,362
20,725,30,380,354,1,91,654,404,295,114,295,88,11,339,339,347,339,339,257,677,347,95,330,149,42,334,93,95,93,174,308,149,308,308,308,174,231,308,231,231,231,231,231
21,666,666,479,484,608,464,568,464,467,467,437,440,498,718,527,527,419,368,658,368,779,658,368,658,368,658,368,368,368,368,779,778,368,368,368,433,433,368,368,433,433,433,433
22,763,758,758,607,334,336,20,806,778,250,535,173,34,348,266,354,210,392,217,210,210,800,269,800,34,306,365,274,158,14,187,74,133,357,338,62,338,382,382,781,156,14,31
23,746,240,427,620,599,599,718,491,371,688,54,598,418,418,173,610,610,610,610,110,562,238,365,558,54,558,108,610,54,598,684,598,684,387,387,598,250,598,110,759,110,110,574
24,143,205,356,708,147,147,20,618,157,210,377,105,162,257,162,325,285,162,347,162,242,12,333,49,65,65,287,325,658,318,310,141,310,53,744,318,318,50,50,50,80,744,80
25,303,303,35,35,262,46,326,395,80,46,243,148,303,303,714,23,80,309,309,80,462,257,80,462,78,80,80,257,130,80,80,462,80,80,80,80,80,80,80,80,80,80,80
26,370,556,292,125,588,47,186,729,137,147,117,117,159,223,223,129,223,223,129,131,171,7,29,69,206,223,187,34,307,262,262,262,106,137,261,129,80,261,254,254,261,261,80
27,547,308,523,594,102,524,190,251,634,763,70,75,737,364,364,19,19,19,273,339,377,385,303,257,12,334,334,257,334,20,79,79,19,303,19,79,79,294,79,19,303,79,19
28,759,490,490,633,498,490,465,519,269,446,0,610,472,385,351,351,385,385,385,385,385,385,385,0,156,323,130,130,68,385,286,0,0,323,323,323,323,323,323,323,381,351,381
