ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42
0,6304,2707,6341,3655,1483,123,2161,2428,2672,5813,2049,6350,3133,4755,6537,4177,7001,612,6452,541,1942,3923,3721,3641,77,6964,1456,4129,1526,6765,1456,3383,342,6936,3208,3253,6906,1260,123,5563,4210,2191,2961
1,516,2707,6598,1287,2221,539,2588,1942,2448,1664,2830,2055,4608,2625,2000,6680,5007,3857,1233,6252,2405,147,2166,3233,77,6349,1700,3064,1395,1512,1456,2025,1851,5411,3208,3253,1578,2263,2065,2862,1974,3145,841
2,6304,2707,5049,3537,2221,5877,2588,2741,6137,3198,419,2994,3313,5630,2000,1415,886,612,558,2172,553,3338,173,2549,1222,606,1456,3732,6680,1512,1456,3383,821,2416,3214,3139,680,2398,2208,886,2741,2212,2000
3,6304,2707,5376,3537,1222,539,2588,2741,48,1148,419,2438,2153,1801,2000,852,1674,612,558,894,553,1412,2732,2549,680,2994,5554,595,1526,1512,2156,2044,1973,406,2042,2740,3261,976,970,976,2523,2191,966
4,1551,2707,2061,822,1222,539,1233,2741,48,1148,419,2994,2153,1304,2000,4135,886,5194,2463,703,553,1412,2732,277,680,2994,5001,94,1526,6525,1456,3383,821,4438,619,6284,3261,976,1326,1548,1931,1548,2926
5,6304,2707,5049,3537,2221,539,2588,2741,2336,1148,419,2438,2153,1801,1642,852,1674,1892,558,2732,2405,749,2732,2549,680,2994,5554,595,1526,3420,1075,3383,1973,4438,2223,595,3261,976,3353,976,2523,2191,966
6,6304,2707,2061,3537,424,539,2588,2741,48,1664,1958,2994,1397,1354,1642,852,1674,1399,558,894,553,1442,1049,1459,3037,242,2862,595,1526,1512,3099,3383,1399,3304,3099,2450,1495,976,558,692,2523,2098,966
7,6304,2707,5049,3537,2221,539,2588,2741,48,1148,419,2994,3313,2423,2000,852,886,612,2463,2172,553,1412,2732,2549,680,4686,1456,94,1526,3420,1456,3256,821,2732,3214,2450,2821,976,705,976,2523,3059,1338
8,6304,2707,6341,3537,424,539,2588,2741,3493,1664,419,141,3313,2423,1642,1415,886,612,558,2172,230,3338,1049,1471,77,606,1456,2939,497,1512,396,3256,821,1584,3214,2450,1829,976,705,138,2523,3477,2529
9,6780,2707,6598,3537,1222,539,2588,2741,2672,5813,1958,1857,2153,1801,3322,1003,475,3009,1903,3366,2405,1442,2087,637,211,5933,2148,2944,314,3158,1193,3471,2927,581,3208,3474,2166,5027,123,3036,4210,632,2694
