ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,2190,6431,213,94,1072,2087,3130,437,3345,1388,222,735,1522,1412,2633,1214,6221,5397,4367,2111,3305,2695
1,2742,3906,3202,94,1072,2087,4350,437,3345,2149,3509,453,2501,1970,2633,1565,1315,4687,3663,3097,3322,2745
2,2190,6431,3202,94,1072,2087,3130,437,3345,6163,2752,735,1522,3778,3376,2990,5241,5261,2401,2111,194,3923
3,2190,6431,3202,94,1072,2087,3130,437,3345,2149,1542,821,1837,1184,2633,1549,1404,749,3071,123,310,3195
4,2190,6431,3202,94,1072,2087,3824,6485,2428,3369,253,6237,1783,3829,2633,2998,1464,1329,3071,3199,2734,1924
5,2190,6431,3202,94,1072,2087,4537,437,367,3369,1852,735,2501,1970,450,1214,1404,749,3142,123,3322,2695
6,2190,6431,3202,94,1072,2087,3130,437,3345,2149,1495,735,2501,1970,3376,1214,997,909,3071,3369,194,2196
7,2190,6431,3202,94,1072,2087,4537,437,367,6163,4101,1032,1522,3778,888,1549,5241,5386,4367,6656,5696,2695
8,2190,6431,3202,94,1072,2087,4537,6485,3345,2149,3509,735,1522,1354,2633,2042,997,749,3071,2111,1463,1463
9,2190,6431,3649,94,4305,2087,3824,4188,2428,3188,1495,6237,2847,1948,316,108,271,385,394,6214,3322,1997
10,2190,6431,3649,2305,4797,2087,4350,4188,2428,5507,2066,6237,5975,1157,316,5800,5966,5089,4029,4988,1129,5782
11,2190,6431,3649,94,1072,4792,4350,4188,2428,6163,4794,6237,5975,3778,6644,2024,5780,743,1528,2906,3456,1018
12,2190,6431,213,94,1072,2215,3130,437,3345,6163,2965,453,2219,1970,1946,1693,1315,1149,3071,3145,2734,1458
13,2190,6431,3649,94,1072,2087,3130,437,3345,2149,2752,453,2219,1970,1160,2625,1315,2224,1617,1668,1889,776
14,2190,3906,3202,94,1072,2087,4537,437,3345,1148,2588,735,2501,1354,3376,1214,1404,749,2386,123,2734,776
15,2190,6431,3649,94,1072,2087,246,1514,3345,1388,1542,735,1837,1184,1022,1214,1315,749,3071,2457,2734,1924
16,2190,3906,3202,94,1072,2087,4537,437,3345,1148,2588,735,1522,6854,2339,1460,833,4216,12,2111,194,3519
17,2190,3906,3202,94,1072,2087,3130,437,3345,1388,1495,735,2219,2352,494,1010,1495,385,3450,1668,3322,2943
18,2190,6431,3202,2305,1072,2087,4350,437,3345,2149,2588,735,338,6854,3376,1214,3400,1329,6906,2111,1463,5201
19,2190,6431,213,94,1072,4514,4350,437,3235,3188,1852,6237,1783,3089,1473,1214,2198,1882,2641,1730,2032,2075
20,2190,6431,3202,94,1072,2087,4350,437,3345,3188,1852,6237,1783,1139,1160,987,2907,5261,665,1567,2032,374
21,2190,3973,3649,94,4305,2087,4350,437,3345,6163,1852,6237,1522,3778,1160,3824,4020,6427,4978,7006,3859,3618
22,2190,6431,213,94,1072,2087,4350,437,367,6163,6694,735,2501,4390,1490,2253,5776,4797,2335,3145,2925,2467
23,2190,3973,3649,94,4305,4792,3824,4188,2428,6163,4794,6237,5975,3726,4578,5654,5794,3592,3998,5963,5845,6724
24,2190,6431,213,94,1072,2087,4350,437,3345,2108,1852,6237,2501,4271,2656,1565,2198,4216,394,3038,3322,3389
25,2190,6431,3649,94,4904,4792,3824,6485,2428,6195,253,6237,1783,1157,1473,1214,271,7044,2016,3199,1,703
26,2190,6431,213,94,1072,2087,246,437,3345,6163,1495,735,1522,1139,1160,342,1315,4216,394,1668,3322,2943
27,2190,6431,3202,94,1072,2087,3130,6485,2428,3930,3881,735,4856,4928,5663,6558,6229,2702,6154,201,5099,2247
28,2190,6431,3649,94,4797,4792,4350,437,2428,6163,3897,6237,1522,3778,1918,4260,5780,5261,5852,3199,3456,2467
29,2190,6431,3649,94,4305,2087,4350,4676,3345,3188,1852,6237,1522,1139,1918,2990,5966,1882,1540,3199,1000,2016
30,5567,3973,4712,2305,5856,4792,3794,4651,2428,4611,3172,735,6962,3759,6781,5800,4853,4754,5439,6866,5123,6558
31,2190,6431,213,94,1072,2087,4350,1514,3345,3188,6822,453,2807,4390,1946,2625,1315,1028,2437,1668,2874,2467
32,2190,6431,3649,94,1072,2087,3130,437,3345,3188,1495,453,338,3089,2633,1214,997,749,3071,505,3322,1862
33,2190,6431,213,94,1072,2087,3130,437,3345,3188,685,4371,2847,1480,316,1003,30,743,3404,1230,5755,2672
34,2190,6431,213,94,1072,2087,4350,4676,2428,6163,1852,6237,1522,1139,1160,2990,4150,4216,5931,5461,2217,6736
35,2742,3906,3202,6026,1072,2087,4537,437,3345,4419,1069,821,1522,1970,6486,1565,4150,4216,3663,696,5308,6869
36,2190,6431,3649,94,1072,2087,3130,437,3345,2670,3172,453,2501,1184,450,2038,3007,5261,3071,3145,2734,5183
37,2742,6431,213,3645,3279,2215,4537,437,3345,6163,1069,821,1522,6743,3154,768,1753,2373,1332,2953,1414,6844
38,2742,6431,3290,3645,3279,2215,4537,437,3345,4419,1069,1032,1015,491,3154,768,659,1071,1966,1691,1514,2467
39,2190,6431,3202,94,1072,2087,3130,437,2721,2149,3172,453,2807,1184,1725,1214,1602,749,3071,3145,2734,3195
40,1746,6431,3649,94,1072,4514,3794,6485,2428,6195,4485,6237,5975,3778,888,2614,6989,7044,5111,3199,2734,1924
41,2190,3973,694,2305,5856,4792,4537,437,3345,1626,2066,735,1624,3408,316,338,2835,685,3450,629,2066,82
42,2190,6431,3649,94,4305,2087,4350,4188,2428,3188,1495,6237,1783,1948,316,108,271,887,3404,2159,2999,2745
43,2190,6431,3202,94,1072,2087,3130,437,3345,3369,253,453,2501,1354,2633,1214,2198,749,3142,2111,3322,3195
44,2190,6431,3649,2305,1072,2087,3130,6485,3345,2149,1542,2731,2501,3089,1473,2132,733,1882,2016,3495,1904,2467
45,2190,6431,213,94,3279,311,3130,437,3345,1388,3509,735,2501,635,3154,129,1495,2913,3450,743,2996,82
46,2190,6431,213,94,4305,311,3130,437,3345,2149,2752,453,2219,1928,3154,129,627,2913,3450,1514,3154,82
47,2190,6431,3649,94,4305,2087,3130,437,3345,2149,253,453,1837,3089,316,2038,1495,2702,2437,2457,896,1862
48,2190,6431,213,94,1072,2087,4350,437,2428,3369,4517,735,1783,1139,1725,2614,2556,1028,2401,3407,3456,2467
49,2190,6431,3202,94,4305,2087,5623,437,2428,6195,1852,6237,5975,1948,316,4292,2568,743,5251,743,997,3164
50,1746,6431,3202,94,1072,2087,4537,4651,2428,6163,2965,5412,4856,3778,450,1214,1038,743,1766,3145,252,3155
51,2190,6431,3202,94,1072,2087,4537,437,3345,3930,4101,5412,4856,3778,450,1549,5806,399,665,2906,1126,1286
52,2190,6431,3202,6026,1072,2087,4350,1514,3345,1388,1852,453,2501,1693,1946,2625,3053,5261,2335,2457,473,1458
53,2190,3906,3202,94,1072,2087,4537,437,3345,1148,3509,6091,2501,635,3376,2627,997,4216,2386,123,3322,776
54,2190,6431,694,2305,4797,2087,4350,437,2428,2552,253,735,2501,1184,450,2614,5785,3780,6785,6866,5123,2467
55,2190,6431,3649,94,1072,2087,4537,437,3345,2149,1542,2731,2219,3891,1946,3943,6906,743,1966,5334,896,2467
56,2742,6431,3290,3645,3279,2215,4350,437,2428,6163,1069,6237,1522,3061,3154,768,6880,1071,1332,2125,1414,2262
57,2190,6431,3649,94,1072,2087,4350,6654,2428,3188,1852,6237,6411,4271,450,5553,2502,399,2401,1082,2734,1512
58,2190,6431,213,94,4797,4792,3824,437,3345,3369,1495,735,2501,3089,2633,2998,655,5261,3071,3097,3456,2084
59,2190,6431,213,94,4305,5472,3130,437,2428,2670,5663,735,4856,3778,3154,3943,3724,743,418,743,1896,744
60,2190,6431,3202,94,1072,2087,4537,437,4926,6163,2965,5899,1522,3778,3376,3768,4150,5261,2401,2111,194,5385
61,2190,6431,213,94,4305,2087,3824,4188,2428,6163,1852,6237,1522,3778,5951,2990,271,4216,2641,250,2244,569
62,2190,6431,3202,94,1072,2087,3130,437,3345,6163,4688,6237,1522,4390,2656,1214,2518,5261,5828,5161,194,3045
63,2190,6431,213,94,4797,311,4350,437,2428,6163,5205,735,1522,155,340,2614,1753,2500,6785,2292,3456,2467
64,2190,6431,3202,94,1072,2087,3130,437,3345,1148,1852,735,1522,1970,450,1214,1404,749,3071,821,2734,596
65,2190,6431,3202,94,1072,4514,4537,6485,3345,2149,253,453,2501,3089,450,1214,1602,1535,1766,123,310,3195
66,2190,6431,3290,6026,1072,2087,4350,437,3345,1388,222,6237,2196,1372,2339,768,1495,385,1966,3097,2925,2943
67,2190,6431,213,94,1072,2087,4350,437,3345,3188,1495,6237,2847,1139,1160,342,271,5805,7007,1427,2032,2075
68,2190,6431,213,94,4305,2215,246,437,3345,1388,222,735,1522,2752,1946,1565,1315,3363,1966,3097,3168,2467
69,2742,3906,3290,6026,1072,311,4350,437,3345,6163,4517,6237,2847,1139,316,768,1315,3198,1966,3145,3154,1242
70,2190,6431,213,3645,3279,2215,3824,437,3345,6163,1069,6237,1522,3061,316,768,5291,4687,2953,696,5308,1242
71,2190,6431,3649,94,1072,311,3130,437,3345,2149,2752,453,2501,2752,450,1361,3007,2224,145,743,997,2846
72,2190,6431,3649,94,4305,2087,4350,1514,3345,3188,3797,735,338,3089,2633,690,2791,510,3071,2457,2734,1862
73,2190,6431,694,2305,3279,2087,4350,437,2428,3188,943,6237,2847,1591,316,1735,3165,3592,6843,505,2032,2028
74,2190,6431,213,94,4305,2087,4350,437,3345,3188,1495,6237,2847,4271,316,342,997,1882,1482,3495,3322,3089
