ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,6144,972,972,936,936,936,936,936,936,936,3491,3491,2795,3289,2795,2935,2935,2628,2311,2311,2311,2311
1,2747,972,972,1796,2842,2842,936,936,936,1579,2795,2795,2795,2795,2795,2935,2386,2386,2935,2935,1780,1780
2,5598,5692,972,1796,2842,936,2804,936,936,936,3491,1647,2037,2037,852,1247,2386,737,445,737,737,737
3,5692,5692,6717,936,2842,936,936,936,936,1579,163,163,163,3462,2037,2945,2945,2945,2945,2945,2945,2945
4,5692,5692,6717,6717,2842,2058,936,936,4702,2266,4606,4606,4606,4606,4606,2906,1780,822,1874,213,3106,3106
5,605,5692,972,936,2842,1921,2804,936,936,2266,1579,1579,2906,2037,2947,2386,2386,2386,2386,2386,1780,2945
6,605,5692,972,936,936,5739,936,936,936,936,163,1264,3145,2000,2386,2386,2386,2386,2947,2945,2945,1780
7,6002,5692,972,936,2842,936,936,936,936,936,1579,1579,3462,2037,2386,2386,1247,1247,2386,1247,1780,487
8,1583,5692,972,936,2842,936,936,936,936,936,2386,2795,163,3289,2386,2386,2386,2386,2386,2945,1780,1780
9,2747,2869,972,1796,936,936,936,936,936,2266,4606,4606,4606,4606,4560,1643,2358,2223,1874,1874,1874,2999
10,2747,972,972,6717,936,936,936,936,4702,2266,4606,4606,4606,4606,4606,4606,4046,213,986,1874,1874,1082
11,3731,972,972,6717,2842,936,936,936,936,2266,4606,4606,4606,4606,4606,4606,3842,4560,4046,6532,6532,6532
12,4094,4094,972,1796,2842,1921,936,936,737,1579,163,163,3462,1264,445,2945,2386,1780,1780,1780,1780,1780
13,2526,605,6717,936,2842,2842,936,936,936,1579,3491,3491,163,3289,3289,2945,2945,2945,2945,2945,2945,1147
14,6002,5692,972,1796,2842,5739,2804,936,936,1579,3842,3133,2037,2037,2386,2386,2386,2386,2945,1780,494,2386
15,5598,972,972,936,936,936,936,936,936,2058,1647,1647,3289,3289,3289,3289,2945,2945,3289,3289,2945,2311
