ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26
0,3883,6627,213,94,3353,1147,2212,1337,2901,3369,2752,1799,2427,4681,1863,1460,1152,5220,513,2457,1826,2477,5849,5327,4842,0,0
1,3425,529,213,94,4995,3208,2212,1337,867,4520,6666,1799,2427,4681,4077,1460,1152,5220,3004,2457,1826,1806,5849,4600,4842,0,0
2,6130,529,213,94,2970,6057,2212,1337,2901,4520,6666,1799,2427,4681,4077,1460,1152,5220,3004,2457,1826,1806,5849,4600,4842,0,0
3,3883,6627,213,94,3279,1147,1930,1337,2901,1534,1645,1799,1777,4681,1863,1460,1152,5220,7039,6163,1826,1806,5849,5327,4842,0,0
4,6130,5550,213,94,4931,4665,1930,5524,2901,3023,4248,1799,1777,3487,4578,1126,1152,5220,7039,5691,1826,1806,5849,5327,4842,0,0
5,3883,6627,213,94,2970,1147,1930,1337,2901,3369,6666,1799,1777,4681,1863,1126,1152,5220,7039,1468,1826,1806,5849,5327,4842,0,0
6,3883,6627,213,94,4995,1147,1930,1337,2901,3369,6666,1799,1777,4681,1863,1126,1152,5220,7039,1468,1826,1806,5849,5327,4842,0,0
7,3425,6627,213,94,4995,6057,2212,1337,2901,3369,6666,1799,1777,4681,1863,1126,1152,5220,7039,1468,1826,1806,5849,5327,4842,0,0
8,3883,6627,213,94,3279,1463,2212,1337,2901,3369,6666,1799,2427,4681,1863,1126,1152,5220,513,1468,1826,1806,5849,4600,4842,0,0
9,3425,529,213,94,4995,3208,2212,437,2901,3023,2514,1799,1777,4681,1863,1460,1152,5220,513,2457,1826,1806,5849,5327,4842,0,0
10,2024,529,213,94,3706,152,2212,5416,2901,3023,6666,1799,1777,5873,4077,1848,1152,5220,513,4964,1826,1806,5849,5327,4842,0,0
11,6130,529,4376,94,5457,4514,2212,1337,2901,3023,6666,1799,1777,3487,4578,3777,1152,5220,3004,4964,1826,1806,5849,5327,4842,0,0
12,3883,3898,213,94,4995,1147,2212,1337,867,3369,2752,1799,2427,4681,1863,1126,1152,5220,513,2457,1826,2477,5849,5327,4842,0,0
13,3883,6086,776,94,3451,1147,2212,1337,867,3369,2752,1799,2427,4681,1863,1126,1152,5220,513,2457,1826,2477,5849,5327,4842,0,0
