ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26
0,1715,1715,1715,5108,2419,2419,3499,3499,984,984,984,5288,3034,3034,3034,3034,3034,6589,6589,6589,1392,744,2526,2526,586,0,0
1,786,3150,3150,5478,6168,6168,6168,5230,6168,1092,1092,5288,3698,3698,3698,3698,3698,3698,3698,1392,1392,1470,2526,2526,586,0,0
2,2234,2234,2234,2234,3499,3499,3499,3499,1051,1051,1051,1827,3159,3034,3034,3034,3034,6589,6589,6589,1392,1470,2526,2526,586,0,0
3,2682,2682,2682,2234,2234,2234,6014,6014,3159,3159,3159,3159,3034,3034,3034,7043,3034,513,6589,6589,6589,744,2526,2526,744,0,0
4,1051,1051,3940,3940,1051,1051,1051,1051,1051,1051,1051,1827,4798,4798,4798,4798,4798,513,1470,1470,1392,1470,1470,2526,5470,0,0
5,4322,4322,4322,4227,6014,6014,3499,3499,1051,1051,1051,1827,5692,4798,4798,7043,2626,6589,6589,6589,1392,744,2526,2526,744,0,0
6,3769,4227,4227,4227,4227,4227,3499,3499,1051,1051,1051,5692,5692,4798,4798,7043,2626,6589,1470,6589,1392,744,2526,2526,2526,0,0
7,5446,5446,5446,1791,1791,3499,3499,3499,1051,1051,1051,230,3034,4798,3034,3034,3034,6589,6589,6589,1392,744,2526,2526,2526,0,0
8,5446,5446,5446,4227,1791,1791,3499,3499,1051,1051,1051,230,3034,4798,4798,7043,2626,6589,6589,6589,1392,744,2526,2526,744,0,0
9,1092,5478,5478,5478,836,5230,5230,5230,984,1092,1092,5288,5086,5086,5086,3698,3698,3698,3698,1392,1392,1470,2526,2526,586,0,0
10,786,5230,6082,6082,6082,5230,5230,5230,1051,1051,1092,1827,3159,4798,4798,4798,4798,6589,6589,6589,1392,1470,2526,2526,5470,0,0
11,786,786,6082,6082,6082,1051,1051,1051,1051,1051,1092,1827,230,3159,3159,3159,3034,3698,3698,6589,1392,1470,2526,2526,5470,0,0
12,726,726,1791,3048,3048,5869,5869,5869,5869,984,984,5869,5869,2438,3034,3034,6767,6589,6589,6589,1392,744,2526,2526,586,0,0
13,726,726,1791,1791,1791,1791,1791,5869,5489,984,1817,2438,2438,2438,7043,7043,2438,6589,6589,6589,1392,744,744,744,744,0,0
14,4322,4322,4322,6014,6014,6014,6014,6014,1051,1051,1051,5614,4798,4798,4798,7043,4798,6589,1392,1392,1392,744,2526,2526,744,0,0
15,1092,1092,1092,916,916,6168,984,984,984,984,984,5288,230,3034,3034,3034,3034,6589,6589,6589,1392,1470,2526,2526,586,0,0
16,5446,5446,5446,5446,6014,6014,6014,3499,3310,3310,3310,5288,3034,4798,4798,7043,3034,6589,6589,1392,1392,744,2526,2526,586,0,0
17,1092,1092,5478,5478,5478,7002,7002,7002,1092,984,1092,5288,3698,3698,3698,3698,3698,3698,3698,1392,1392,2526,2526,2526,586,0,0
18,726,726,2682,2682,2682,6014,6014,6014,1791,1051,1051,3159,5692,7043,7043,7043,2626,6589,6589,6589,1392,744,744,744,744,0,0
19,5230,5230,5230,5230,5230,5230,5230,5230,984,984,984,1827,230,5086,4798,4798,4126,6589,6589,6589,1392,1470,2526,2526,586,0,0
20,786,786,5230,6082,6082,5230,5230,1051,1051,1092,1092,1827,3034,3034,3034,3034,3034,6589,6589,6589,1392,1470,2526,2526,2526,0,0
21,4915,6082,6082,6082,6082,1051,1051,1051,1051,1051,1051,1827,3034,3034,3034,3034,3034,513,6589,6589,6589,1470,1470,2526,2526,0,0
22,5478,5478,5478,5478,5478,5478,5230,7002,984,984,984,5288,3698,3698,3698,4823,4823,3698,3698,3698,1392,1470,2526,2526,586,0,0
23,786,5230,5230,6082,6082,5230,5230,5230,1092,1092,1092,1827,3159,4798,4798,4798,3034,6589,6589,6589,1392,1470,2526,2526,5470,0,0
24,1174,6122,6122,6122,6122,6122,5230,7002,984,984,984,5288,1827,3698,3698,3698,3698,3698,3698,3698,1392,4586,2526,2526,586,0,0
25,3940,3940,3940,3940,3940,3940,1051,3671,1051,1051,1051,5692,5692,4798,4798,4798,4798,513,513,1470,1470,1470,1470,2526,5470,0,0
26,5230,5230,5230,5230,5230,5230,5230,7002,984,984,984,1827,1827,3698,3698,3698,3698,3698,3698,3698,1392,4586,2526,2526,586,0,0
27,4322,2682,2682,6014,6014,6014,6014,6014,1051,1051,1051,5692,5692,4798,4798,7043,2626,513,1470,6589,1392,744,2526,2526,744,0,0
28,6036,6036,3940,3940,3940,3940,1051,1051,1051,1051,1092,1051,5086,5086,3034,3034,3034,6589,6589,6589,1392,1470,2526,2526,2526,0,0
29,1092,5230,5230,5230,5230,5230,5230,5230,1092,1092,1092,1827,5086,5086,5086,4798,4798,3698,3698,6589,1392,1470,2526,2526,586,0,0
30,4322,4322,4322,3307,3671,3671,3671,3671,1051,1051,5692,5692,5692,5692,4798,7043,2626,513,513,1470,297,1470,1470,2526,2526,0,0
31,5230,5230,5230,5230,5230,5230,5230,5230,984,984,984,5288,689,689,3698,4823,4823,3698,3698,3698,1392,1470,2526,2526,586,0,0
32,4915,2234,2234,6082,6082,1051,1051,1051,1051,1051,1051,1051,3034,3034,3034,3034,3034,6589,6589,6589,1392,1470,2526,2526,2526,0,0
33,5230,5230,5230,5230,5230,5230,5230,5230,984,984,1092,1827,5086,4798,4798,4798,6767,3698,3698,1392,1392,1470,2526,2526,586,0,0
34,1092,5478,5478,5478,5230,5230,5230,5230,984,984,984,6168,1827,5086,5086,3698,3698,3698,3698,3698,1392,1470,2526,2526,586,0,0
35,5230,5230,5230,5230,5230,5230,5230,5230,984,984,984,5288,3698,3698,3698,3698,3698,3698,3698,1392,1392,1470,2526,2526,586,0,0
36,4915,4915,4915,2234,6014,6014,3499,3499,1051,1051,1051,5692,3034,3034,3034,7043,3034,513,513,6589,6589,1470,2526,2526,2526,0,0
37,1092,5230,5230,5230,5230,5230,3276,7002,984,984,1092,5288,1827,3698,3698,3698,3698,3698,3698,3698,1392,4586,2526,2526,586,0,0
38,5478,5478,5478,5478,5478,5478,7002,7002,984,984,984,5288,3698,3698,3698,3698,3698,3698,1392,1392,1392,4586,2526,2526,586,0,0
39,173,173,3940,3940,6014,6014,6014,6014,1051,1051,1051,5692,5692,4798,4798,7043,2626,513,6589,6589,6589,1470,2526,2526,5470,0,0
40,3940,3940,3940,3940,3940,1051,1051,1051,1051,1051,1051,1827,4798,4798,4798,4798,4798,513,513,1470,1470,1470,1470,2526,5470,0,0
41,4322,4322,2234,2234,2234,6014,6014,6014,1051,1051,1051,5692,5692,5692,5692,7043,2626,6589,6589,6589,1392,744,2526,2526,744,0,0
42,786,5230,5230,5230,5230,5230,5230,5230,1092,1092,1092,1827,5086,5086,4798,4798,4798,3698,3698,1392,1392,1470,2526,2526,586,0,0
43,4915,4915,2234,2234,2234,3499,3499,3499,1051,1051,1051,3159,3034,4798,4798,7043,3034,513,6589,6589,6589,1470,2526,2526,2526,0,0
44,6020,6020,1791,1791,1791,1791,1791,1791,1791,1817,1817,5692,5692,5692,7043,7043,2438,4307,4307,4307,297,744,744,744,744,0,0
45,5446,5446,5446,5446,5446,1298,6014,3499,1879,1051,1051,5614,3698,3698,6767,6767,6767,1392,1392,1392,1392,744,2526,2526,586,0,0
46,4432,6609,6609,6609,6014,6014,6014,6014,1051,1051,1051,5288,3159,3698,3698,3698,4823,3698,1392,1392,1392,1470,2526,2526,586,0,0
47,2682,2682,2682,6014,6014,6014,6014,6014,1051,1051,1051,5692,5692,5692,7043,7043,2626,513,6589,6589,6589,1470,2526,2526,744,0,0
48,1092,5478,5478,5478,836,836,836,7002,984,984,1092,5288,5086,5086,5086,3698,3698,3698,3698,3698,1392,1470,2526,2526,586,0,0
49,4322,4227,1051,1051,1051,1051,1051,1051,1051,1051,1051,5692,5692,4798,4798,4798,4798,1470,1470,1470,1392,1470,2526,2526,2526,0,0
50,4322,4322,4322,4322,6014,6014,3671,3671,1051,1051,1051,5692,5692,5692,7043,7043,2626,513,6589,6589,297,744,744,2526,744,0,0
51,4322,4322,4322,4322,6014,6014,6014,3671,1051,1051,1051,4798,4798,4798,4798,7043,2626,6589,1470,297,1392,744,2526,2526,744,0,0
52,6122,6122,6122,6122,6122,5108,5108,7002,984,984,984,5288,3698,3698,3698,4823,4823,3698,3698,1392,1392,744,2526,2526,586,0,0
53,4227,4227,4227,4227,4227,4227,6014,3499,1051,1051,1051,5614,5614,4798,4798,6767,6767,1392,1392,1392,1392,744,2526,2526,586,0,0
54,4322,4322,6082,6082,6082,6082,6014,6014,1051,1051,1051,1827,4798,4798,4798,7043,4798,513,6589,6589,1392,1470,2526,2526,5470,0,0
55,3514,5230,6122,6122,5108,5108,7053,7002,1298,984,984,5288,3698,3698,625,3034,6767,6589,6589,1392,1392,744,2526,2526,586,0,0
56,1174,5478,5478,5478,5478,7002,7002,7002,984,984,984,5614,1827,3698,3698,3698,3698,3698,3698,1392,1392,4586,2526,2526,586,0,0
57,786,786,6082,6082,836,836,1051,1051,1051,1051,1092,1827,230,3698,3698,3698,3698,3698,3698,3698,1392,1470,1470,2526,5470,0,0
58,1092,6122,5478,6082,6082,6082,6609,7002,1051,1051,984,5288,230,3698,3698,4823,4823,3698,3698,6589,1392,1470,2526,2526,586,0,0
59,4322,4322,4227,4227,6014,6014,6014,6014,1051,1051,1051,1827,4798,4798,4798,4798,6767,1392,1392,1392,1392,744,2526,2526,586,0,0
60,4322,1051,1051,1051,1051,6014,3499,3499,1051,1051,1051,1827,4798,4798,4798,4798,3034,513,1470,6589,1392,1470,2526,2526,5470,0,0
61,786,5230,5230,5230,5230,5230,5230,5230,984,1092,1092,1827,5086,5086,5086,4798,3034,3698,3698,6589,1392,1470,2526,2526,586,0,0
