ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
0,425,3708,3708,3268,3268,3268,837,837,837,3268,3268
1,786,5004,5004,5248,5248,5248,5248,4977,3268,3268,3268
2,1051,1051,1051,1051,1051,3268,3268,6105,6105,6105,3268
3,5445,5445,5445,5445,6007,6007,410,410,410,410,2343
4,1051,1051,1051,1051,3268,3268,6105,6105,6105,6105,3268
5,4322,4322,6007,6007,6007,6007,410,6105,6105,6105,6105
6,1212,5446,4353,4353,4353,3268,1017,6105,6105,6105,1017
7,5446,5446,5446,425,425,425,837,837,6105,6105,3268
8,5446,5446,5446,5446,425,1017,1017,1017,1017,1017,1017
9,1092,5004,2746,2746,2746,2746,4977,4977,4977,5196,5196
10,786,1051,6885,2746,5248,5248,4977,4977,4977,3493,3268
11,1135,3742,1258,102,5248,5248,1379,1379,1379,1379,3268
12,726,2527,2527,2527,2527,2764,2764,5541,1851,4116,791
13,3590,3590,5541,5541,5541,5541,5541,5541,5541,4116,4116
14,4322,4322,1833,6007,1833,1833,1833,410,410,6105,1017
15,1092,1092,1092,3150,3150,3150,1436,1436,2899,2899,3268
16,5446,5446,5446,4116,4116,4116,4116,4116,410,410,6105
17,1092,1092,3150,3150,3150,3150,3150,2907,2907,2907,2907
18,726,726,726,2598,2598,2598,2598,2598,2598,4116,4116
19,4058,4058,5248,5248,5248,5248,3268,3268,3268,3268,3268
20,786,6609,5248,5248,5248,5248,5248,6038,6038,6038,3268
21,1051,1051,1051,1051,3268,3268,3268,6105,6105,6105,3268
22,5478,5478,4506,5248,5248,5248,5248,6038,6038,6038,3268
23,4058,3742,2746,2746,2746,5248,3268,3268,6038,3268,3268
24,5743,1174,1174,5725,5725,5725,5484,5484,5484,5484,5484
25,5452,5452,102,102,6105,6105,6105,6105,6105,6105,1017
26,5230,1174,1174,6885,5484,5484,5484,5484,5484,5484,5484
27,4322,4322,6007,6007,6007,410,410,410,410,6105,1017
28,6573,3742,5248,5248,3268,3268,3268,6038,6038,3268,3268
29,786,508,5248,5248,5248,5248,5248,4977,4977,3493,3268
30,4322,4322,3307,1833,1833,1833,6105,6105,6105,6105,1017
31,5230,5230,742,2746,5248,5248,5248,5484,5484,3268,3268
32,2630,3742,3742,2630,2630,1833,6928,6105,6105,6105,3268
33,5230,5230,2746,5248,5248,5248,5248,3268,3268,3268,3268
34,1092,1174,2746,2746,2746,2746,4977,4977,4977,5196,5196
35,4058,5004,2746,2746,2746,2746,2746,4977,4977,3268,3268
36,5963,1051,6007,6007,6007,6007,6007,6105,6105,6105,6105
37,786,1174,3150,3150,3150,3150,2907,2907,2907,2907,2907
38,5478,3150,3150,3150,3150,3150,3150,2907,2907,2907,2907
39,5963,4322,6007,6007,6007,6007,6105,6105,6105,6105,6105
40,1051,3940,1051,3268,3268,3268,6105,6105,6105,6105,3268
41,5631,4322,3823,3823,3823,1833,410,410,410,410,1017
42,786,5004,2746,2746,5248,5248,5248,4977,4977,3493,3268
43,2318,2318,6007,6007,6007,6007,6007,6105,6105,6105,6105
44,6020,3590,40,40,2764,2764,2764,5541,3768,4116,4116
45,5446,5446,5446,5446,3769,3769,3769,6767,6105,6105,6105
46,1987,948,1051,2630,1051,1534,1534,1534,410,410,410
47,2671,6067,5445,6007,1534,1534,410,410,410,410,1017
48,5478,1174,5248,5248,5248,5248,5248,5484,5484,5484,3268
49,1833,1833,2630,1833,1833,6105,6105,6105,6105,6105,6105
50,4322,4322,5934,2598,2598,1833,410,410,410,1017,1017
51,4322,4322,6007,6007,6007,1833,1017,1017,1017,1017,1017
52,6122,6122,6122,6123,3268,3268,6450,1379,1379,1379,3268
53,5446,5446,5446,5446,1833,1833,1833,1833,6105,6105,1017
54,5963,4322,2318,6007,3268,3268,3268,6105,6105,6105,6105
55,3514,6526,3150,3150,3150,3150,3150,6450,6450,837,837
56,1174,1174,1174,1174,5248,5248,5484,5484,5484,5484,5484
57,1135,508,6885,6885,5484,5484,5484,6038,6038,6038,3268
58,1092,3150,3742,5296,5296,1379,1379,1379,1379,1379,1379
59,4322,4322,1833,1833,1833,1833,6105,6105,6105,6105,6105
60,1051,1051,1051,6007,6007,6007,6105,6105,6105,6105,6105
61,786,5004,2746,2746,2746,2746,4977,4977,4977,5196,5196
62,1092,6609,3742,5296,5296,5248,837,6038,6038,6038,3268
63,1092,1174,1174,5248,5248,5248,5484,5484,5484,5484,5484
64,3333,5446,5446,4353,4353,3268,3268,6105,6105,6105,3268
65,4322,4322,6007,6007,6007,1017,1017,1017,1017,1017,1017
66,4277,4277,2190,5725,5725,5725,5484,5484,5484,5484,5484
67,786,4506,6885,6885,6885,6885,4977,4977,4977,5196,5196
68,6122,3514,2025,2025,3505,333,5725,6450,6450,6450,5484
69,786,1174,5004,5248,5248,5248,4977,4977,4977,5196,5196
70,1174,1174,1174,1174,5248,5248,6144,6144,5484,5484,5484
71,5446,4322,1833,1833,1833,1833,6105,6105,6105,6105,6105
72,1051,1051,1051,1051,1051,1051,6928,6928,410,410,3268
73,1135,1258,6885,6885,5484,5484,5484,4977,3493,3493,3493
74,786,5004,6885,6885,5484,5484,4977,4977,4977,3493,3493
75,5446,5446,5446,5446,5446,4353,1534,6105,6105,6105,3268
76,1107,5446,2746,2746,837,837,837,837,837,3268,3268
77,1107,6609,3150,3150,6450,6450,6450,6450,6450,837,3268
78,5478,6144,2746,2746,2746,2746,6144,4977,4977,2899,3268
