ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26
0,3425,6627,1147,628,4995,6808,5935,5633,3054,6221,6258,451,3960,1705,2382,1361,2608,2398,1782,2398,52,2195,2560,3459,52,55,4689
1,194,529,213,177,705,2479,1461,2055,2580,5810,6765,2560,2055,2212,2212,1674,1681,6258,451,1390,2560,2136,427,1645,2372,2560,2828
2,6130,6627,213,5803,4995,4267,1471,3717,1222,5122,3827,6432,3484,3209,2382,2382,2695,1899,922,2382,419,922,723,2398,922,922,1239
3,3883,6627,1147,628,4995,2237,2191,86,225,1354,1676,1222,2768,2075,2314,2885,2075,1887,2075,1113,1672,3195,3195,3195,2075,955,3195
4,6130,5550,5108,4208,875,4267,2191,1991,86,2386,797,218,2223,680,2926,2509,569,1882,539,3250,539,1473,539,2509,2509,5205,2910
5,3425,6627,4931,450,4303,3064,2191,86,225,2386,1715,354,3195,1919,539,2885,539,2441,169,539,539,1448,795,169,48,469,169
6,3883,6627,4931,628,705,2479,2191,2560,769,720,1782,427,1617,720,2994,3263,2732,791,3420,3428,2640,1535,1535,791,174,1937,805
7,3425,6627,4931,628,4995,2479,2191,86,343,1623,1519,1512,2219,3126,467,3273,389,3996,297,1759,578,2606,851,3273,5452,3526,1073
8,681,6627,1147,370,4995,2479,1930,1474,769,566,7019,908,2372,3459,2339,3263,2423,2000,2000,1456,2022,2022,1080,3198,2022,1811,1499
9,3425,529,213,6281,4995,4267,1321,2045,2603,2259,84,1256,3886,2847,2098,2055,3140,3450,2678,2847,3140,3372,1982,3372,2927,4804,3252
10,2024,5550,213,5803,2965,3506,3351,1991,3110,3492,933,1032,2172,4271,952,369,6664,2170,65,2231,527,1890,1630,5674,6088,6774,6774
11,6130,5550,3881,426,4995,171,5569,478,1977,2613,3398,3211,2593,2717,1752,1747,1752,2650,1977,3458,1752,246,670,424,2793,3178,246
12,3883,2125,1147,370,4995,2479,2084,4397,5932,1511,2752,346,2501,2022,590,1522,3441,1701,290,2603,2196,1585,1755,1617,290,396,1585
13,3883,6627,1147,730,705,2479,2452,998,1858,1027,2318,2095,761,1460,4790,1460,3441,1585,3441,3441,1524,590,590,6837,590,6837,2603
14,3883,6627,776,177,6854,2479,1341,2054,2339,537,3509,2204,6842,3441,1664,1522,1039,2990,1617,3441,1617,473,2905,290,290,613,1949
15,2937,6431,3202,628,705,2479,1471,2560,2560,2560,824,1782,1783,1783,2025,2560,2804,1201,2560,2804,1248,2560,2560,2036,3231,2560,2804
16,3883,6627,776,177,4995,3527,90,86,3376,1004,2836,2412,1705,2289,1201,1239,610,2277,1311,2277,2289,1239,77,2289,2168,2277,2588
17,2937,3898,213,1114,705,2479,1461,2560,123,3273,3636,143,2755,1705,3338,3338,1783,2170,3468,3338,2560,2560,824,2730,3338,3064,1705
18,681,6627,1147,2422,705,4031,2452,1474,1457,3400,801,3459,3053,3459,1377,1374,1980,1899,340,1899,3256,2821,1899,1852,3220,946,1499
19,3425,529,213,3062,4995,4267,599,5633,533,5442,5205,2355,6914,3950,2355,50,1326,2108,946,2355,2355,2933,74,2089,43,2089,1710
20,2024,5550,5108,5803,4995,3064,1937,3484,1222,5122,4448,1222,277,56,3420,1117,1852,1915,1739,2172,3018,1739,56,1734,56,56,1734
21,6130,5550,4376,5322,4303,4117,3952,4278,6112,4076,2393,4796,4103,4143,3210,3488,3963,6733,495,3275,1771,3275,3831,4983,2092,4983,3998
22,3425,529,213,1114,4995,2028,5747,3733,3610,1552,506,1595,5383,7012,2696,2117,6752,6662,5361,132,132,5755,3704,5084,132,3664,132
23,2024,5550,5108,4208,4303,6366,5126,4278,5888,6036,2393,6540,3488,6385,3210,3488,3488,1885,3488,1885,3488,5598,3529,4025,2723,1418,4988
24,194,3898,213,3061,2965,165,2595,531,3235,3235,1398,2999,401,2448,2146,4866,3231,401,1831,2146,401,3089,787,3089,123,3089,123
25,6130,5550,3649,5322,1725,2731,1937,3025,2547,2730,6760,1560,567,3089,3089,3315,787,502,1831,3089,787,787,2730,3089,787,3089,3089
26,194,3898,213,5803,1497,6126,3351,1680,2511,2149,2629,1881,2029,1924,3089,1900,2147,4027,1585,3089,3280,1360,3410,4700,3410,1900,4027
27,3883,3221,1147,628,4995,2479,5569,5884,6718,576,2689,319,386,3346,3420,3263,1943,2689,558,396,3256,2969,558,285,1114,2689,3263
28,2024,5550,3649,628,4995,1675,1461,1680,2637,5966,492,1759,1709,2620,1134,3449,141,1196,5118,2366,888,3162,3222,1382,3162,888,1400
29,2024,529,213,5803,4995,4267,2212,1680,343,1554,1364,2732,974,974,2473,2689,2423,386,186,441,833,56,2689,1454,1507,2689,2037
30,6130,3221,6730,5433,4097,5946,292,4266,4783,5176,1666,1381,3502,5568,1473,2403,1596,427,3011,1633,512,1473,1106,2279,1473,4996,4716
31,194,529,3202,2611,4995,2479,450,2055,3099,1334,2118,2115,225,340,2223,238,1427,1535,1535,3261,2196,1730,1156,225,1648,3028,5568
32,2937,5550,3649,370,423,2028,292,3036,2968,2933,2968,1882,2819,1739,1301,243,2968,461,2737,1431,2994,807,1568,2907,2526,2907,568
33,194,529,213,1628,1497,5029,4672,7015,6012,1242,2406,656,1089,2875,661,2639,4624,4554,6633,1230,1250,4019,5299,6160,2080,5878,1132
34,194,529,213,5803,4995,4267,4229,3548,3641,590,696,6066,1522,2388,3153,1522,696,2152,1965,2152,1923,1875,541,2152,3062,817,1452
35,3425,3898,213,5803,7027,2656,4537,5917,6302,6302,5877,1949,1271,1003,1003,3455,5823,657,1351,1923,1923,4989,6813,3774,362,5904,3706
36,6130,6627,4712,370,2965,1099,450,1362,1987,2132,2308,74,105,1739,3420,720,2268,461,1118,1139,1987,292,637,2268,522,2462,292
37,194,3898,213,426,1497,2479,3619,2677,4476,3294,6859,6859,6859,1139,1130,6859,1315,3492,1298,267,1409,2869,2105,3474,2412,2869,2268
38,2937,2125,3061,2715,1963,488,796,2178,634,1934,2715,1533,1013,736,1987,5651,1913,1013,5651,906,3354,906,147,82,3127,1987,147
39,6130,6627,1147,370,2965,2028,292,3036,1820,1820,2542,1157,292,292,395,1717,2586,2306,1157,2011,2542,2542,3307,3307,2306,2380,1690
40,6130,5550,3881,5322,1725,3292,1374,4896,1810,2807,6541,2266,2945,665,2314,102,701,2306,1381,487,2073,2073,2073,3195,2073,62,3012
41,3883,3221,4931,5709,677,5946,3408,1369,4091,3733,1784,1867,1174,7030,2132,243,1431,1369,5774,568,2375,2375,1636,3469,1568,2320,978
