ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26
0,2725,6916,2925,2925,3036,2499,2499,12,12,1404,1404,1739,1739,1739,988,988,988,170,2310,170,2811,2811,807,539,1526,1333,1333
1,2480,2299,6916,3837,3036,2499,2499,4377,1561,3484,1561,3471,1265,1265,1265,1723,1723,1723,1000,2163,1000,1000,819,2798,7008,7008,7008
2,2725,2925,2925,3036,3036,4648,4648,12,12,12,2111,2111,2858,2858,2111,988,988,988,170,2811,2811,2811,2811,170,487,487,487
3,2725,3652,2925,3036,3036,12,12,12,12,1404,2111,2111,2111,2111,2111,2111,2111,2118,2118,2118,2811,2811,539,6515,6515,6515,1148
4,2725,2925,2925,3036,3036,2499,12,12,12,12,1404,1265,1265,1265,1265,2111,2111,2118,2310,2118,2310,2310,2118,2118,2118,2118,2089
5,2725,2925,2925,3036,3036,5097,12,12,12,2111,2111,2111,2111,2111,2111,2111,2111,2111,2118,2310,2310,2118,2118,6515,1247,1247,6515
6,2725,3652,2925,3036,3036,5097,5097,1561,2111,1561,2111,1833,1265,1265,1265,1265,1265,2111,2118,2310,819,2118,819,819,3493,3493,3493
7,2725,2925,2925,3036,3036,4648,5097,3552,3552,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2118,2118,2118,487,6515,6515,6515,5442
8,6947,3652,2925,3036,3036,3036,4648,2499,1833,1833,2310,1833,988,1265,988,988,1377,2553,2553,2163,170,2310,2310,2118,3493,3493,3493
9,2480,2299,6916,3837,3036,2499,2499,4377,1561,1833,2310,822,2553,2553,1000,2163,1014,1000,1014,1014,1014,1014,1014,112,212,494,494
10,2725,6916,2925,3036,3036,3036,5097,2499,1833,1833,170,170,3565,3565,3565,1238,170,170,5858,170,170,2177,402,170,170,170,170
11,2480,2925,2925,3036,3036,3036,12,12,1833,1404,1833,1833,3462,3462,3462,2111,2811,3199,170,170,6112,2811,2163,2163,819,2111,6872
12,1061,6916,2925,2925,3036,2499,4377,12,12,2111,2111,2111,2111,2111,5261,988,194,2111,194,2172,424,2530,2530,2530,4297,128,610
13,5406,3652,2925,2925,3036,12,12,12,12,3484,12,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,1247,1247,1247,852,2588,2588
14,2725,2925,2925,2925,3036,4648,12,12,12,2111,2111,2858,1265,1265,1265,1265,1265,1265,1265,2118,2118,2118,2265,1265,1265,1265,1265
15,2725,6916,2925,3036,3036,2499,4648,12,1833,1833,1833,2858,1265,1265,1265,1265,1265,2553,2553,1891,2118,2118,2118,2118,2118,2118,3493
16,2725,2925,2925,3837,3036,2499,12,1561,12,12,1561,1561,1265,1265,1265,2111,2111,1247,1247,1247,1247,2560,2560,1247,1247,3376,3376
17,6507,2299,6916,3837,3036,2499,2499,4377,1561,2111,1739,2108,2108,1265,1265,2553,2163,1805,1805,1000,112,599,599,494,494,494,2336
18,2770,3652,3036,3036,3036,2499,4648,2111,2111,2111,2111,1377,1377,1377,1377,1377,988,1739,988,988,2118,2118,2118,1377,1377,3493,3493
19,2725,6916,2925,3837,3036,2499,2499,12,12,1404,2310,170,170,1238,170,170,170,170,170,170,170,2811,170,170,170,170,170
20,2725,2925,2925,3036,3036,2499,12,12,12,1404,1404,2310,2636,988,988,988,170,170,170,170,170,2811,2811,487,487,487,487
21,2725,2925,2925,3036,3036,2499,12,12,1833,1404,2310,2310,2636,170,170,170,170,170,170,170,170,170,170,487,170,487,170
22,5461,2299,6916,3036,3036,2499,2499,1561,12,1404,1404,606,6872,606,3211,2358,6872,6872,6872,6412,4597,4597,4597,4883,4597,5237,5237
23,2725,2925,2925,3036,3036,5097,2499,2499,1833,1404,2856,170,170,170,170,170,170,170,170,170,170,170,1000,1000,1805,1000,1000
