ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32
0,53,345,164,691,470,776,580,53,231,105,131,53,53,53,149,149,149,53,53,147,53,53,53,53,53,53,147,53,621,53,53,53,53
1,53,180,53,143,790,539,148,381,149,148,147,147,303,149,225,53,53,53,53,53,53,53,53,53,53,225,53,53,53,53,53,53,53
2,53,363,53,23,275,314,729,318,362,213,364,53,395,53,53,257,53,53,257,149,257,147,257,257,147,257,257,257,257,257,147,263,257
3,53,347,347,271,89,508,49,237,6,35,347,347,347,347,347,347,347,220,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,53,347,347,572,45,479,66,187,352,6,187,280,40,111,40,144,294,144,84,144,178,144,178,178,178,178,178,178,245,245,208,178,290
5,347,133,691,346,177,543,347,256,220,281,347,347,347,347,347,347,347,220,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,221,576,12,480,254,28,763,190,385,334,170,7,65,170,7,31,360,65,65,28,65,310,54,54,54,240,11,11,240,208,54,240,240
7,53,12,293,548,698,674,522,148,132,303,303,96,303,79,6,132,68,68,384,208,132,295,384,384,384,384,384,384,384,384,384,384,384
8,12,177,121,160,273,251,634,53,231,111,257,281,281,208,366,251,366,366,327,251,251,224,366,251,179,30,179,366,385,58,58,208,385
9,53,347,347,371,444,100,105,543,197,744,211,534,189,58,421,596,58,710,219,710,635,421,261,534,635,534,534,534,261,534,421,261,261
10,53,347,347,499,602,31,183,261,632,261,261,295,261,293,189,75,177,595,75,421,734,351,236,261,75,75,786,261,227,647,647,261,412
11,53,347,398,690,30,319,596,53,207,44,335,385,385,251,208,194,78,159,159,159,159,80,657,657,657,159,657,296,203,243,657,657,203
12,53,347,347,766,594,577,174,308,143,342,203,139,3,74,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,53,347,347,24,805,620,195,348,139,390,216,87,15,321,321,125,321,51,321,632,254,321,321,273,139,261,183,273,183,694,183,139,183
14,214,131,82,539,643,717,36,607,79,216,177,115,3,3,15,125,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,53,347,347,100,633,523,89,207,219,86,86,78,203,203,86,203,203,139,203,86,203,86,134,203,203,203,203,273,203,203,139,203,134
16,53,347,347,203,203,691,114,53,248,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,53,347,347,548,675,756,314,179,314,314,91,378,378,378,225,225,225,225,225,225,203,225,225,203,203,203,203,225,203,203,203,86,203
18,53,347,347,464,395,287,481,149,346,361,162,241,190,231,190,190,35,35,257,190,190,148,148,245,190,190,190,53,53,245,148,148,190
19,53,347,347,214,487,581,102,26,162,309,339,339,166,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,53,347,347,26,682,634,281,23,174,339,339,149,231,131,231,149,91,231,231,231,149,231,231,231,231,231,231,231,231,231,231,231,231
21,53,347,347,433,783,368,394,204,271,234,348,368,348,240,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,53,347,347,68,560,365,387,69,7,119,234,781,229,476,444,396,476,560,754,458,754,513,458,618,798,427,458,458,458,763,458,802,458
23,53,347,347,781,672,173,193,298,217,332,25,62,62,401,240,240,433,368,536,433,368,444,368,368,368,368,368,368,368,368,368,368,368
24,53,347,347,91,41,168,361,35,182,362,80,379,32,129,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,53,347,347,373,280,372,260,361,188,80,260,323,259,80,21,37,80,80,137,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,53,347,347,207,370,245,144,220,318,248,314,80,236,421,80,80,137,196,80,80,196,80,80,80,80,80,80,80,80,80,80,80,80
27,53,347,347,106,309,160,102,22,281,366,366,23,251,148,22,182,297,22,22,297,281,140,232,297,297,20,297,297,159,323,20,297,361
28,53,347,347,88,455,470,339,358,346,255,335,335,297,306,22,102,23,136,14,14,14,136,136,31,297,323,323,323,323,323,323,297,323
29,53,347,347,192,778,657,182,244,80,381,381,203,381,35,323,53,182,323,220,53,53,53,148,148,194,22,323,303,323,323,323,323,323
30,53,245,245,514,185,645,663,379,287,250,140,108,290,140,140,268,268,268,268,385,84,245,245,268,268,108,245,245,14,245,245,208,245
31,53,347,347,762,580,431,111,34,334,334,245,245,220,334,6,295,295,131,6,245,22,245,208,245,245,245,245,245,245,245,245,245,245
32,53,347,347,771,771,250,383,252,60,245,28,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
