ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37
0,648,36,686,477,360,349,206,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,682,699,673,329,6,780,203,780,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,462,100,49,149,339,257,53,257,149,53,53,257,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,547,623,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,802,708,708,334,367,367,111,268,174,95,308,34,347,347,347,347,347,347,347,347,224,108,347,347,347,347,347,347,347,347,347,347,108,347,347,347,347,347
5,406,208,601,366,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,366,160,367,364,641,360,303,346,12,346,360,290,290,290,65,370,65,65,65,370,370,370,370,65,65,65,140,713,370,370,140,713,250,713,370,174,370,174
7,43,552,766,495,23,19,19,208,149,131,148,366,577,577,131,131,325,131,325,507,325,346,131,185,325,346,507,274,325,325,185,325,185,325,131,325,325,325
8,281,82,594,105,251,364,207,303,303,366,251,251,251,251,251,366,263,366,12,251,295,385,385,385,385,251,366,366,385,385,366,385,366,131,12,274,366,385
9,322,508,515,264,470,1,417,612,485,154,339,261,261,261,260,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
10,115,129,241,175,25,650,37,647,650,543,261,323,261,647,650,647,261,261,261,582,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
11,663,100,366,182,179,256,131,400,256,121,121,261,615,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
12,664,317,613,39,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,580,187,196,185,595,15,233,15,82,82,15,82,618,15,15,15,15,15,15,595,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,139,196,264,378,378,399,15,446,139,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,418,634,6,313,548,548,86,115,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,569,695,203,263,79,203,203,225,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
18,108,494,649,53,754,190,121,190,190,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,718,64,384,384,95,238,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,429,707,26,601,53,339,149,339,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,559,666,662,440,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,524,286,211,36,169,403,88,215,271,374,271,271,240,240,368,368,368,240,368,247,368,247,247,368,368,368,42,368,368,368,368,247,368,247,368,368,368,368
23,482,689,215,598,313,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,287,555,797,313,43,154,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,24,638,286,28,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,106,402,293,101,101,101,101,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,73,106,145,224,224,130,20,386,323,206,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
28,495,1,332,130,23,248,22,22,22,314,297,297,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,26,263,500,256,763,102,323,323,314,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
30,695,720,253,135,291,84,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,792,524,22,187,187,14,132,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
32,309,340,40,12,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,717,409,31,503,804,535,661,671,194,449,671,408,574,396,697,747,321,697,321,697,447,697,321,681,697,681,681,703,681,697,697,697,697,697,489,281,697,517
34,478,671,647,139,362,390,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
35,74,716,728,760,321,420,388,321,523,615,674,321,657,36,321,321,321,36,321,752,321,194,321,321,36,321,321,321,321,321,321,321,321,321,321,321,321,321
36,613,105,132,237,270,379,35,12,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
37,412,555,168,20,227,119,119,119,119,119,379,379,119,270,14,119,270,14,14,270,14,14,270,14,270,14,14,270,270,270,14,14,14,14,270,14,14,14
38,768,399,337,183,308,394,622,18,115,88,330,345,353,735,320,6,308,308,379,308,308,308,308,308,394,45,45,114,308,308,308,308,45,308,308,314,308,45
39,145,144,380,590,239,6,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,400,86,400,325,245,206,213,231,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,640,749,672,132,348,197,506,506,388,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
42,677,533,463,340,111,28,28,384,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
43,644,495,362,255,295,19,340,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,408,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,139,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,69,760,188,195,347,316,130,760,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
47,545,252,134,140,75,22,360,188,303,303,303,130,303,130,130,303,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,237,130,130,130,130,130
48,146,421,630,319,103,161,103,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,643,634,380,739,381,91,103,103,207,207,349,161,207,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
50,737,610,360,161,75,152,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,479,303,742,261,225,283,207,161,161,161,207,207,207,207,103,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
52,57,245,50,383,78,280,23,103,161,207,207,207,207,207,103,207,207,103,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
53,468,190,346,243,59,5,12,207,207,207,207,207,207,103,207,207,207,207,207,207,207,103,207,207,207,207,207,103,207,207,207,207,103,103,207,207,207,207
54,287,454,630,233,9,388,16,313,16,338,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
55,365,493,369,313,16,735,735,735,678,678,735,16,735,678,16,16,16,16,16,16,678,16,16,16,16,16,16,16,16,16,16,16,16,678,734,16,16,16
56,70,805,495,229,234,690,333,277,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
57,315,91,78,187,187,78,30,367,308,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
58,8,686,143,50,196,108,308,145,145,145,145,145,145,145,145,145,145,387,145,145,145,145,145,145,145,346,131,145,145,145,145,145,177,145,382,131,346,145
59,285,656,195,308,692,308,308,308,387,367,367,367,367,388,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
60,336,269,177,177,95,443,723,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,635,525,6,31,95,95,340,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,573,573,773,594,774,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,434,155,766,86,335,88,224,269,88,269,88,174,269,174,58,179,174,179,174,174,174,174,174,179,58,174,269,174,174,174,174,174,174,174,174,58,174,174
64,757,114,677,263,339,303,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,147,580,273,297,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
