ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37
0,948,4118,3825,2372,2578,268,814,2695,1865,776,1782,2560,2560,1024,2717,2550,886,2707,3493,2550,1024,2550,886,886,2717,2717,2707,3209,2550,2550,2550,2906,886,2550,2717,886,2550,2906
1,6281,4272,3004,2560,1231,2341,322,2695,2608,824,2695,5129,3468,3054,427,2550,2560,2730,2172,898,2172,2550,2695,1231,2695,2550,2695,2199,2695,938,2695,1858,3106,2550,2695,886,1231,2906
2,170,4515,4719,518,1231,285,2398,3106,2741,459,2741,2741,2741,730,2741,2741,1395,2741,2741,635,888,2550,888,2172,888,2172,2764,1364,2550,819,1272,819,486,1272,486,5665,2550,486
3,170,6034,4257,2180,2578,1791,2441,1554,11,2969,3313,3298,780,2546,1962,2546,138,1815,1815,3067,970,86,539,2468,2468,2969,2458,539,445,1919,3112,4875,271,2910,2703,271,1364,2414
4,3556,4931,6094,6872,1596,3379,506,503,1113,3182,503,539,503,2863,503,503,2897,2457,503,2976,2976,40,553,2976,2910,4081,2910,50,896,553,641,2553,3268,2910,1622,553,2045,324
5,170,6886,4719,2310,2885,3263,19,868,868,4432,3313,2358,2458,494,795,795,1405,533,1364,2613,1364,469,1364,1405,1405,1405,1149,1364,970,1364,1405,970,1405,539,469,1364,1405,2414
6,170,4272,703,148,371,2464,3151,3151,3428,2791,2569,2271,2458,430,3151,1268,795,531,3151,1268,1428,795,531,531,1268,2578,1268,2585,791,680,1268,680,2789,3195,2585,194,2783,1906
7,6602,6886,4719,1652,2740,1615,1999,531,966,3526,1073,778,778,749,2803,1526,966,2233,966,2542,1267,3350,2967,4287,1436,5568,4287,1436,966,531,966,1726,778,2768,531,531,966,2676
8,948,4515,2118,5370,132,3263,2466,531,121,3406,1216,321,3518,2657,773,2074,186,2074,3198,2074,773,2403,1783,186,2211,2211,1018,1018,1018,2403,2403,2403,553,553,2423,1036,2022,286
9,6281,3373,6094,41,433,3098,2927,6934,2579,3512,818,6952,2667,2834,2834,6661,5250,858,1732,858,2834,7015,3231,6917,6917,858,1684,858,5250,3231,2242,858,858,1560,858,858,858,858
