ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36
0,671,1532,4323,1561,1382,319,3459,2764,3209,1858,819,1782,2811,2986,1558,2717,3313,775,2741,775,451,455,2388,2906,451,832,2758,451,1782,2172,3145,888,775,1782,1796,2707,1323
1,3878,2336,1789,285,2695,405,285,123,2560,1858,819,62,2811,2695,1558,2717,2550,775,2758,1239,451,455,2172,2906,451,832,2550,3133,2649,2172,3145,2398,427,1584,2398,1782,52
2,2283,2336,1163,285,419,319,3459,1970,3209,2289,888,2382,2811,2986,1899,2717,52,87,3054,775,888,886,2172,2906,52,3209,3398,3133,2649,2172,3145,1899,775,1783,1796,1782,1463
3,2283,2336,1163,343,497,319,56,2422,1164,2326,1919,2219,1377,1593,2031,915,1646,2011,2281,1110,745,3261,3421,113,1593,271,1130,3415,271,3416,1930,1166,745,1137,206,1919,539
4,2768,2336,1163,1656,1843,2422,3106,2043,1444,1269,1919,2863,461,3444,2910,1444,933,2325,1456,2191,2031,2264,3387,563,294,3147,3071,2314,2463,1535,2135,503,3129,136,2264,2456,1927
5,4488,2336,1163,2458,2344,319,56,2043,1157,2326,1919,1866,461,3444,1919,3242,1646,2209,2281,756,1434,349,169,560,1593,1511,795,3415,3352,3416,2281,1166,206,2383,3298,1919,539
6,671,2336,2959,1498,1843,2422,1837,2386,1164,3270,1364,1906,908,165,1592,1674,2571,2209,2434,1824,2585,908,165,350,680,566,83,213,3049,566,165,3440,2042,3440,1122,2434,3099
7,2283,1532,1211,1498,1843,2562,700,749,1592,1269,1589,168,1377,944,93,779,2571,700,3490,2840,3184,3184,2044,350,1810,108,3340,222,1115,1535,2,1810,93,3340,3438,2241,2542
8,671,1532,638,1561,5990,3082,1811,389,174,2022,1823,993,2825,86,1889,133,985,1222,1374,1110,2031,1695,1937,3393,2514,1781,2657,3211,2074,531,2383,801,3393,1584,1796,1222,2118
9,169,2336,2045,1798,2282,449,2603,123,2834,1077,143,3231,123,2834,2667,3025,3231,2185,1712,3252,1732,3231,123,4360,473,832,123,1077,3231,424,2804,1924,3441,3231,2834,4280,2804
10,169,2686,5873,1202,988,449,1048,2334,1989,5320,415,4922,4511,6247,2667,1560,3893,5431,787,1609,3929,4813,952,4360,6247,832,5242,6768,4531,4911,5508,2889,5941,2280,5090,2245,6770
