ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40
0,459,23,194,349,237,237,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,295,53,53,53,53,53,53,53,53,53,53,53,53
1,286,635,136,102,364,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,149,23,381,79,53,257,53,257,257,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,367,366,303,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,798,423,31,121,6,179,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
5,575,93,147,131,347,270,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,342,11,388,256,256,256,346,65,65,65,65,170,170,104,170,170,65,170,174,174,184,174,174,370,174,174,174,174,79,174,174,174,367,184,370,174,370,174,370,170,370
7,152,741,339,339,68,208,130,31,42,325,325,325,325,131,577,325,325,325,325,131,325,325,325,325,325,205,325,325,205,325,131,325,325,325,325,325,325,325,150,36,325
8,372,480,208,713,251,251,251,251,251,251,251,251,251,251,251,366,385,385,251,187,385,256,187,385,187,187,187,187,202,202,202,202,347,22,187,58,12,202,150,366,202
9,323,274,154,192,612,215,576,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
10,170,632,681,204,465,48,323,323,261,261,261,206,412,705,261,261,105,261,261,71,261,596,261,261,261,511,261,596,723,412,630,439,365,787,261,734,723,261,306,408,261
11,474,19,111,283,283,225,225,225,615,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,657,261,261,657,776,657,261,456,261,261,657,261,261,261,139,261
12,22,448,709,139,139,15,139,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,505,26,571,87,125,87,15,87,87,87,87,15,15,139,87,87,139,15,595,698,139,15,15,15,15,15,139,87,15,15,468,468,139,134,139,139,15,15,595,139,139
14,708,139,15,252,273,15,139,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,173,247,386,23,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,603,665,260,78,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,225,203,203,203,203,203,203,203,203
18,776,145,330,391,200,35,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,769,584,86,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,541,434,53,364,171,237,174,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,504,510,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,481,674,85,209,173,240,388,247,792,560,368,240,368,368,271,368,271,368,368,240,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
23,422,598,83,649,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,485,239,327,60,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,320,223,595,80,21,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,329,485,59,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,309,496,303,339,364,162,164,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
28,667,724,7,187,22,20,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,447,368,768,53,364,323,251,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
30,521,545,639,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,440,752,159,347,347,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
32,218,378,98,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,623,368,275,402,700,792,37,327,455,86,111,509,697,22,656,321,321,697,576,671,321,447,447,447,794,321,40,700,507,576,556,671,40,447,148,40,581,697,142,203,716
34,36,607,575,362,321,100,28,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
35,211,177,540,647,802,321,321,321,321,321,321,321,321,321,194,321,321,321,321,321,321,321,321,321,321,321,321,321,321,621,19,321,321,19,321,194,321,321,382,321,321
36,26,632,179,195,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
37,290,402,489,95,119,119,119,188,188,379,270,270,14,14,270,270,14,14,270,270,270,14,14,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,143,270,270
38,561,195,417,118,314,163,107,107,163,45,45,45,45,308,308,308,45,308,115,270,211,45,115,308,306,270,270,270,45,308,308,45,270,45,264,270,211,45,211,652,16
39,560,245,659,190,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
