ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42
0,4337,1619,242,824,3297,2730,1239,185,427,2695,888,2906,1858,2695,1858,2000,2906,1782,3209,1858,451,1782,2906,2906,2906,1708,3209,2906,2695,769,2906,2906,451,3209,2906,1782,1782,1858,2906,2695,2906,1858,451
1,4337,3028,1788,285,3297,2730,1239,185,427,2695,888,1782,1858,2695,1858,2000,2906,1782,3209,1858,451,1782,2906,2263,2906,1708,2550,1858,2695,1782,2906,2906,451,1782,2906,1782,1782,1858,1782,2695,451,1858,2263
2,4337,238,1788,2906,419,888,3121,1899,427,2695,3209,2906,888,3133,3133,3413,2906,1782,3209,1858,1395,888,2906,2263,2172,3133,3133,1782,2695,1783,2172,1858,2172,888,1395,1782,1782,2695,2172,2695,2172,888,2172
3,692,238,3049,2055,2223,1156,3228,795,2517,3416,2036,911,745,728,1646,3416,745,745,915,2969,745,3261,745,2281,1646,2969,560,745,560,2969,3416,560,745,560,745,3416,2281,1164,3416,560,3416,560,560
4,692,291,2352,2319,2043,2904,1837,2122,2043,1433,2043,2910,2910,1837,2910,2910,2910,1837,2910,2910,2910,503,2191,503,2553,340,874,2910,1837,2910,1837,2553,2553,1837,2910,1837,1837,2910,2910,1837,3293,1646,2737
5,4337,291,1214,1980,389,2904,2087,1919,1164,1919,2036,2613,533,7022,1646,3416,533,533,2036,2969,2412,2281,3444,2281,560,560,560,2281,2969,2281,2281,560,3444,560,2281,3416,2281,560,3416,560,2281,560,560
6,3169,238,3049,598,389,1156,1127,1073,1164,3340,2435,2783,350,1423,3049,430,430,430,3243,430,430,2435,430,1709,1717,165,430,165,2435,566,1709,2732,430,2783,165,430,1717,1717,165,566,165,2783,3243
7,4337,291,1974,2586,1304,3041,2562,749,2389,3340,2542,1367,1367,1073,3184,1073,955,1267,1367,700,3066,1730,3184,2840,2044,2542,700,2840,2840,605,2840,2542,3340,370,2803,370,700,2542,700,3340,3066,370,3066
8,692,238,3049,598,389,2657,333,2825,2074,2074,2378,911,2825,2644,560,2644,560,2644,359,2825,2644,2644,2825,2644,2657,2657,2825,3393,2825,2657,1901,2644,2644,2256,2825,1222,2644,2825,2825,1807,2825,1222,2969
9,3169,1758,6214,589,978,2568,3231,123,1732,3231,961,3231,123,473,123,3231,987,123,123,123,961,824,123,3231,3231,424,3231,123,3231,424,123,3231,3441,3231,3231,3231,3231,3231,3231,3231,123,3231,3231
10,3131,1804,1986,2269,6756,2568,2846,1120,2334,3021,1924,1792,3231,2185,6270,4558,1480,1480,6088,2185,2603,987,2603,3231,6088,987,3231,6164,3231,1480,1480,987,4802,4531,3231,4531,1480,4866,6088,1480,1480,1480,4866
11,4337,238,1788,2906,2000,2730,2185,185,1732,1077,1924,3231,123,824,123,3231,987,123,123,123,3231,824,2603,987,3231,824,3231,5397,3231,2185,123,3231,3441,3231,3231,128,3231,3231,3231,3231,3231,3441,3231
12,2792,1831,590,1180,988,2961,1239,346,2961,346,128,2961,2961,473,346,961,987,2961,128,2764,2961,2245,1585,2961,2961,2961,2961,987,2961,2245,1585,128,2408,2764,2608,2408,2408,2608,2608,84,2961,2961,128
13,2792,941,590,346,1271,4280,2603,346,128,3025,987,2961,1004,473,3441,987,987,2603,987,2603,2603,2603,2603,987,1095,987,3231,1247,3231,987,987,987,473,2603,3231,2603,2603,473,3231,3231,987,473,473
14,2792,1831,590,346,1460,2961,1239,346,128,1474,128,2961,1004,473,346,961,987,2961,128,2265,2961,2245,2603,2961,2961,2961,2961,987,2961,2245,473,987,2408,1585,2265,2961,473,2961,2608,2608,3338,2961,128
15,4337,2041,961,824,988,988,1239,123,1239,1474,961,961,1483,473,2265,961,1563,2265,3441,2265,2804,2804,2804,2168,3441,2289,3231,3231,2804,2265,2804,2804,3441,2804,2265,128,2804,1231,2804,1077,1483,3441,2804
16,2152,103,961,346,988,346,1239,346,2588,2289,2289,961,1483,1460,128,1231,1563,2265,128,1483,1563,2804,2804,2168,3441,2289,3231,2804,2804,1004,2804,2804,3441,2804,2804,2804,2804,2804,2804,3231,2289,3441,2804
17,2152,1919,961,824,3297,2730,1239,1705,3338,1474,961,961,2608,824,1474,961,1474,2608,1311,1239,961,824,1318,1239,2560,3338,2804,2804,2804,2608,2804,2804,1239,2804,1239,3338,1239,1318,2804,2804,3338,3315,2804
18,692,1619,2288,2933,3028,3334,3028,1739,1124,2288,1236,1739,1739,3459,2355,3028,391,354,1739,2355,1228,3028,3028,1760,2479,680,2614,3028,1852,1852,1852,1852,1852,1852,2479,1852,2933,2614,2479,1852,1852,1852,1852
19,4337,291,1214,2933,1304,2933,1760,2614,1519,680,2479,2934,1739,2614,2355,2355,391,2355,83,2614,2355,3028,3028,2355,2479,2355,2614,2614,2934,2614,2355,2479,1852,1852,2355,1852,1852,2614,2355,1852,2355,1852,391
20,4337,291,1214,59,3028,2969,354,2479,354,1661,2969,3087,1739,354,2355,354,391,354,354,2355,3087,3028,3028,2355,391,2355,2614,2614,2934,1852,2355,354,1852,1852,354,973,2934,2614,2355,1852,1852,1852,391
21,6339,2883,3998,2356,6756,1916,1251,4586,1716,2092,3473,278,1916,2895,2092,3247,2895,3210,4586,2723,1613,3210,902,2092,3891,2092,2723,4535,2092,2092,4586,5103,4586,3234,2092,3891,6920,2092,6515,2723,2723,2092,3578
22,4337,2131,3664,3150,6756,3041,812,4176,2286,5366,6757,3570,2637,3854,3610,6757,6757,1810,1785,653,3854,3610,3610,3610,1916,3610,3232,6757,3610,6732,6732,3610,6732,4847,6732,3610,4403,4403,3610,3610,3610,3610,3610
23,3169,2883,3998,2356,4616,1916,1784,7019,2286,3631,2723,278,3631,1613,4535,2723,6757,6757,4586,3631,1613,5468,4330,6757,6757,1613,2723,3854,6757,2092,4586,3234,6757,3234,2092,2723,6757,6757,6757,3854,2723,902,6757
24,692,1758,242,589,3089,2568,1213,131,1890,3280,787,1890,449,2359,2568,256,787,131,787,3025,787,787,2603,787,3025,2603,290,2603,787,1480,787,787,787,3025,2603,787,787,3025,256,787,256,787,787
25,2089,789,242,2146,3089,2568,2603,290,1890,3280,787,1890,2146,143,290,256,787,1492,290,256,2603,787,2603,290,290,2634,290,2603,787,290,787,787,290,1890,2603,787,787,2603,256,787,2634,787,787
26,4337,789,1986,2146,2185,2568,1200,290,1890,1200,787,1890,449,473,1095,1890,1890,3089,3025,2603,2603,1890,2603,1890,3089,2634,2634,2603,787,3089,787,1890,3089,3089,2603,2603,3025,2603,3089,3025,2634,3089,1890
27,4337,291,3052,3468,3112,1156,3207,1459,3421,3304,2423,1312,3155,3155,3178,3155,1312,3155,3389,774,3155,3155,3143,3155,3155,3155,3155,3155,3155,3155,3155,3155,3155,3155,3155,774,774,3072,1498,3155,774,3155,3155
28,692,1619,1450,1888,2068,1476,2068,507,3155,1518,1016,3155,3155,3155,307,3155,2437,3155,3155,3155,3155,3155,3155,3155,3155,3155,1079,3155,1079,3155,3155,3155,3155,3155,1079,3155,3155,1079,3155,3155,2437,1079,3155
29,692,1758,3052,3468,1374,985,1811,1459,477,3079,1940,909,507,985,2853,265,2543,909,3389,774,909,3143,477,1940,477,3486,1940,477,3143,1940,3143,477,477,2779,985,3155,477,2853,3143,3143,3143,1341,3143
30,5744,1619,2352,2586,389,2907,39,3490,1157,1433,1160,1160,1739,1160,1063,1106,2116,1270,1739,363,1264,1760,1160,1760,2386,680,170,2585,1701,398,398,1438,1063,1438,39,1438,2386,170,1063,3099,1264,1063,2386
31,4337,1619,2352,59,389,1264,39,2122,680,680,1438,720,1739,791,1646,3464,680,720,83,680,3263,1438,2122,1438,680,680,680,3263,3031,680,680,680,680,1438,680,680,3263,3263,3263,3099,2042,3263,83
