ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,2386,2526,90,77,3017,2560,3017,2593,2355,242,2355,2717,2707,2717,2717,2717,2717,886,886,886,886,886
1,2386,1399,2516,285,938,427,2560,888,2341,1231,2707,1395,2717,2717,2717,2717,2717,5959,2717,2695,427,886
2,2386,1526,90,977,957,2741,1395,2038,1395,1395,1395,486,819,486,1395,1395,486,4012,486,2695,922,2695
3,2037,593,62,1803,927,1930,1930,3517,406,62,1622,1526,627,627,627,627,627,2220,6114,580,1364,627
4,2037,593,2105,503,503,1882,503,2457,503,503,503,1622,809,809,809,4081,4081,4081,4081,4081,4081,2910
5,2386,737,3420,665,2431,1930,1930,1930,1930,1930,169,5243,3416,1149,3416,533,169,1149,1887,1887,1887,2036
6,2386,2586,805,2435,1535,3340,795,3263,1268,2256,531,174,2434,2585,2434,2585,3340,2434,1268,2434,2434,2585
7,2386,1073,3263,1776,1000,1000,2233,1000,2233,1436,1436,531,2233,5648,531,4287,4287,2233,4287,2809,531,5648
8,2386,725,3198,3249,23,1674,1527,2061,1674,445,1216,1438,1783,1664,1438,1276,1674,186,1438,1438,1438,1689
9,2037,212,3512,880,1541,5431,7015,2126,7015,2242,3231,2242,3231,858,92,92,92,92,92,92,2242,92
10,1466,798,216,1131,5376,2099,5214,5875,328,339,6699,6699,462,5734,3753,1900,339,462,339,462,1900,6998
11,2386,7022,3198,3249,888,2834,7015,2285,818,7015,2834,2285,3231,4531,5397,4531,396,5397,7015,2021,5397,7015
12,730,787,1585,1609,4280,2148,1446,3299,911,257,396,3441,4793,477,5026,3441,2603,2603,1436,963,1446,4628
13,504,6837,1585,473,1881,2148,1446,1582,2773,473,4793,473,4793,2467,4891,2131,473,473,1436,2467,1446,6936
14,3352,473,2603,3519,2339,911,257,3441,911,257,2961,257,257,7049,2374,3441,3441,7049,257,257,3369,257
15,1833,1030,1585,123,3315,3369,2804,3351,824,2480,3351,2634,3315,3315,1483,123,1483,3315,1474,1732,1483,1474
16,730,2588,2423,2588,961,2277,3441,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289
17,2386,174,1201,1146,3315,3338,1474,2730,2730,2730,2730,1474,1474,1474,4342,6060,2608,1474,1474,2608,2608,2289
18,2386,421,90,2042,3459,56,56,1739,56,2476,2476,56,1724,3224,3224,2821,3224,3224,3224,3224,3224,3224
19,2037,421,1304,2887,1022,1760,1022,1022,1022,2089,1739,2355,2355,2821,3224,3224,3224,3224,3224,3224,3224,3224
20,2386,421,705,87,3133,56,56,1739,56,56,56,56,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224
21,5857,3216,1540,3098,589,3998,3173,1916,2092,1492,2092,2092,3942,2092,2092,3942,2092,3942,3942,3942,3942,3942
22,2835,678,5978,132,3150,1046,5084,1014,5084,1250,1325,1325,1250,5084,1785,1325,3995,3995,5468,3995,1325,1325
23,1916,3216,1540,586,1613,1613,855,1916,1916,1613,1613,1500,1500,1500,1500,1500,1500,1500,1500,5383,1613,1500
24,1066,2671,1492,1095,589,589,1095,3253,424,424,1890,787,787,502,1890,424,787,787,787,787,787,787
25,2310,787,143,1492,589,787,787,787,424,787,143,787,787,787,787,787,787,787,787,787,787,787
26,1066,3300,1492,1095,589,787,3089,787,787,1095,1900,1093,2519,2650,787,787,787,2650,787,787,3025,787
27,2386,1399,3198,62,1312,1100,985,6154,3417,1933,1490,1490,1490,3207,3525,1695,1490,1490,3525,3525,3525,3525
28,3463,421,1139,492,3304,1341,2437,1477,1379,6,1379,1379,1379,1379,1379,1379,1379,6,1379,3155,1379,1477
