ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22
0,59,23,157,53,149,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,149,139,147,53,53,149,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,53,91,257,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,334,166,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,30,187,187,245,111,73,108,24,24,108,73,49,178,73,347,24,347,178,34,347,24,24,24
5,131,297,220,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,256,256,295,295,295,65,65,65,65,65,165,65,360,65,65,360,65,65,65,65,65,65,65
7,26,295,79,295,68,295,6,170,274,274,274,36,384,309,387,309,379,379,379,387,387,187,387
8,339,255,327,334,121,202,245,327,136,385,385,202,385,385,385,385,385,385,295,295,366,295,295
9,64,125,280,261,280,261,125,125,261,261,261,261,261,125,261,261,261,261,261,261,261,261,261
10,384,323,475,21,261,261,261,729,729,261,714,80,114,462,261,80,745,261,87,595,595,51,261
11,257,149,364,23,78,283,225,203,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
12,264,51,216,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,196,390,247,87,125,87,87,87,87,87,87,87,87,87,15,87,80,80,80,80,80,80,80
14,182,216,15,139,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,308,364,203,342,283,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,308,91,203,225,203,225,203,203,203,203,203,225,203,225,203,203,225,203,225,225,225,203,203
18,263,208,162,231,231,35,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,40,339,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,339,339,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,387,62,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,33,340,425,236,368,475,368,368,368,444,368,368,368,368,368,368,368,368,368,368,368,368,368
23,298,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,207,130,137,101,80,101,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,78,254,21,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,3,186,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,150,60,93,297,264,223,223,223,323,323,223,323,223,323,323,323,323,323,323,323,323,323,323
28,234,102,60,14,339,136,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,195,347,11,323,182,323,323,297,323,323,323,323,323,323,323,323,323,323,323,323,218,323,323
30,379,245,290,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,97,404,208,290,208,65,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,184,245
32,178,322,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,194,697,572,68,364,321,747,364,321,794,794,79,364,321,79,364,671,671,170,671,79,325,364
34,36,429,19,321,19,177,177,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
35,693,462,157,128,321,321,321,321,321,321,321,36,321,230,350,321,142,350,794,321,230,321,321
36,340,306,238,6,178,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
37,184,306,112,270,14,14,14,270,270,270,270,270,270,270,14,270,14,270,270,270,270,270,270
38,403,99,107,107,678,115,45,45,45,16,45,45,197,394,193,45,197,394,45,45,197,339,119
39,104,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,270,166,131,131,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,132,166,185,132,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
42,24,31,224,132,268,121,267,132,28,165,12,360,28,28,28,28,28,28,28,28,28,28,28
43,105,106,370,187,58,28,370,28,28,371,28,28,28,28,28,28,28,28,28,28,28,28,28
44,392,28,93,338,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,20,130,130,130,130,130,20,130,130,20,130,130,130,130,130,130,130,130,130,130,130,130,130
47,260,339,96,339,339,339,32,121,121,121,121,130,295,130,130,121,130,130,216,130,216,303,216
48,159,385,207,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,102,341,4,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
50,75,381,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,364,260,49,161,161,280,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
52,80,361,49,58,251,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
53,103,263,206,349,399,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
54,3,16,45,31,45,197,31,31,31,16,16,16,16,16,16,16,382,16,16,16,84,16,16
55,353,45,735,734,114,114,114,114,114,16,114,114,114,16,16,16,16,16,373,16,622,16,373
56,676,99,16,374,16,197,16,145,16,16,374,145,353,16,16,16,16,16,340,16,16,16,16
57,49,78,309,28,366,28,367,367,28,28,150,150,367,367,367,327,367,367,367,367,367,150,367
58,194,337,382,140,140,140,140,145,382,165,145,16,140,308,165,165,140,145,208,140,145,140,165
59,294,347,608,224,367,388,307,84,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
60,100,150,95,100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,139,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,764,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,275,174,385,385,53,223,385,385,385,385,58,353,385,385,264,385,385,58,385,245,353,23,385
64,303,161,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,19,295,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,327,274,136,66,335,335,66,66,335,66,66,66,335,335,66,66,66,181,335,66,159,159,222
67,168,158,219,123,380,66,66,66,66,66,66,66,66,66,66,66,66,66,117,66,66,66,117
68,183,221,67,66,66,66,66,66,66,288,66,66,66,393,66,66,288,66,66,66,18,259,376
