ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23
0,597,444,132,149,472,472,23,132,78,78,88,130,53,53,53,263,53,53,53,53,53,53,53,53
1,682,682,682,59,148,102,280,102,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,410,569,487,149,149,362,53,381,149,102,53,257,53,257,53,53,53,53,53,53,53,53,53,53
3,334,334,79,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,368,568,42,24,231,231,334,367,367,367,24,24,24,111,24,347,347,347,24,24,347,24,24,24
5,366,601,601,149,131,131,347,131,297,297,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,184,208,161,385,385,400,88,256,256,256,256,208,208,334,208,360,208,208,360,360,65,360,65,65
7,810,810,281,281,162,22,79,162,231,79,79,79,79,79,166,79,166,166,166,166,166,224,224,224
8,625,551,319,174,364,207,364,102,23,41,23,251,251,251,251,251,251,251,251,251,275,251,251,202
9,636,189,728,520,340,340,710,710,264,635,635,125,125,125,635,261,261,260,261,261,261,261,261,261
10,78,701,576,576,323,207,323,807,323,261,261,261,261,261,261,261,261,517,99,647,261,261,261,261
11,91,91,330,91,346,346,263,385,179,385,283,78,283,283,283,283,78,261,261,261,261,261,261,261
12,294,294,294,263,196,462,462,462,462,139,15,15,125,125,15,15,15,15,15,15,15,15,15,15
13,613,613,379,292,73,196,196,127,127,125,125,125,15,15,15,15,15,15,15,15,15,15,15,15
14,148,789,346,346,15,342,15,252,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,225,225,6,223,364,364,329,203,80,203,203,203,203,86,203,86,86,86,203,86,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,492,573,59,59,59,59,78,182,203,203,225,225,225,225,225,225,225,225,225,225,225,225,225,225
18,454,619,452,325,398,327,327,327,339,140,190,190,190,190,190,190,88,88,231,190,231,231,231,231
19,634,634,274,274,274,35,35,35,35,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,603,603,281,281,263,339,339,213,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,623,623,71,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,253,79,256,467,781,781,754,618,506,369,233,189,369,137,368,266,32,368,142,299,368,368,368,368
23,502,368,340,54,512,215,368,215,271,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,161,400,251,161,293,101,65,21,152,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,28,720,747,103,729,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,803,321,141,116,207,207,101,101,101,101,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,75,75,737,224,339,23,70,23,23,323,323,323,323,23,323,323,323,297,323,323,323,323,323,323
28,130,130,608,290,60,323,20,20,306,14,14,22,22,323,323,323,323,323,323,323,323,323,323,323
29,658,661,79,569,35,341,581,237,182,364,364,323,323,323,323,323,323,323,323,323,323,323,323,323
30,777,639,672,662,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,156,313,84,24,319,319,6,6,268,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
32,135,245,245,377,377,245,245,152,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,692,692,692,692,767,365,435,435,194,194,194,455,449,765,455,321,792,321,295,489,295,321,295,295
34,100,100,575,36,100,36,36,36,36,177,19,19,321,321,321,321,321,321,321,321,321,321,321,321
35,627,627,728,802,802,802,802,647,321,321,321,321,647,321,321,321,321,321,321,321,321,321,321,321
36,389,586,28,224,268,40,7,379,379,379,379,287,270,270,270,270,270,270,270,270,270,270,270,270
37,168,168,107,168,286,286,119,119,119,119,119,119,119,119,119,119,119,14,119,119,119,119,270,119
38,107,107,107,107,690,107,107,107,107,107,107,107,107,232,107,107,107,107,107,107,107,107,107,107
39,570,326,570,695,71,166,132,132,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,174,383,110,60,119,132,132,132,132,132,132,132,132,166,166,166,213,166,166,166,166,166,166,166
41,185,185,259,405,405,405,641,641,641,740,740,506,166,166,166,166,166,166,166,166,166,166,166,166
42,273,363,510,28,28,268,28,384,334,334,171,49,268,337,28,28,28,268,28,28,28,28,28,28
43,11,11,11,131,24,24,404,79,31,360,360,31,166,28,28,28,28,28,28,28,28,28,28,28
44,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,108,527,735,9,296,32,590,32,130,130,130,32,130,130,130,32,130,130,130,130,130,130,130,130
47,68,135,325,93,188,188,22,140,140,353,147,395,147,91,102,102,102,102,339,297,121,130,121,339
48,425,640,161,314,385,314,161,22,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,672,518,58,269,91,103,339,91,190,102,156,103,103,103,103,349,103,103,161,161,161,161,161,161
50,71,371,23,303,140,140,257,257,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,23,149,281,78,23,105,361,346,161,273,283,234,103,103,103,103,103,103,161,103,103,207,207,103
52,171,106,188,245,188,188,116,78,78,49,280,327,225,223,161,161,103,161,161,103,103,207,207,207
53,720,720,281,281,281,281,281,281,281,223,0,225,225,225,225,225,207,207,207,207,207,207,207,207
