ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16
0,2882,2624,3114,1502,3468,1840,1899,3413,77,2000,1782,2852,2330,1708,451,2734,1708
1,2882,2624,3114,2372,3468,3209,73,819,77,2000,1782,886,2398,2172,451,2581,1915
2,2882,2624,455,3484,3413,3209,1899,3413,3209,2000,1782,886,888,2172,451,2734,1915
3,2807,2314,2707,2075,1063,3261,745,3443,745,271,11,745,745,2920,271,1214,2075
4,2882,2314,2910,2075,2910,1793,3293,2264,791,2759,807,2910,2113,2920,3387,1837,2031
5,2807,894,2910,2075,928,2230,745,3443,3353,450,2809,745,795,1527,2386,539,1118
6,2807,1498,2545,1689,2254,1428,2783,3263,1164,2645,2501,1073,165,623,1701,1914,1722
7,2882,2314,3114,1801,1457,1428,93,1579,2719,2645,2809,1073,1526,1659,3192,1526,370
8,2882,285,2545,3400,890,2230,1966,3126,921,3106,3106,3393,598,359,1889,2074,3393
9,2807,3208,950,1303,2280,2678,2295,401,713,3315,346,1088,961,3128,3369,3098,2147
10,2551,1461,2554,1119,1749,2678,2295,2406,1609,1684,1755,1684,4554,3128,3369,2834,2147
11,2807,123,2559,6664,2280,961,2804,1705,824,1311,346,2852,961,1231,1239,1474,346
12,2882,1004,1336,987,1749,961,2804,473,987,1311,2265,1585,961,473,3369,1239,2408
13,2882,2318,1336,987,128,961,2804,473,987,473,2603,1585,147,473,3369,3098,2147
14,2882,2588,943,987,128,961,2804,473,987,1311,2265,1585,961,473,1239,1239,2408
15,1149,832,722,6664,128,961,2804,1705,3102,1311,346,4280,961,1231,1563,1239,346
16,2882,2326,943,3527,128,961,2804,473,3519,1311,346,2852,961,1231,1563,1239,346
17,2882,2624,943,3231,1435,961,2804,1705,824,1705,346,2852,961,1231,1239,1474,346
18,2882,946,100,2072,2641,138,1124,2288,635,3459,2156,3087,165,83,3459,976,1915
19,2807,946,100,2072,391,2736,1124,1519,976,2479,2190,3087,354,83,1852,976,1915
20,2882,2624,100,2072,343,2736,1124,354,3214,2479,2190,3087,354,83,1852,976,1915
21,2807,540,3219,1050,4586,5711,3998,2723,4586,5103,1398,3631,6920,3854,7028,3098,1685
22,585,2823,3219,6732,4586,3610,4467,5084,4586,6732,1916,5527,1303,653,3610,5747,5383
23,2807,1185,4015,1050,4586,5711,3998,2723,713,733,1388,3631,796,3854,1505,3098,1685
24,2882,787,2146,632,787,3280,2295,401,2568,2603,2603,787,147,2927,3369,3089,2147
25,2807,787,2146,632,787,2359,2295,290,2025,2603,2603,787,147,3025,3369,3098,2147
26,2807,787,2146,1200,1712,1480,2295,290,2773,2603,2603,787,2568,2634,3369,2834,2147
27,2882,285,518,2372,3468,2736,745,3443,1062,2437,3155,1459,910,1306,490,2811,266
28,2807,65,3164,1503,307,1669,1298,3443,1062,2437,3155,1670,793,1079,490,774,1079
29,2882,2624,1642,2189,3468,182,705,1502,2570,2190,2190,915,598,3143,2736,774,3143
30,2551,1177,2910,2403,2910,2716,1076,1063,1164,1118,2809,398,1709,680,680,1160,3099
31,2807,946,39,1760,2442,2122,595,680,2515,2479,1674,551,2585,3139,1962,1914,1915
32,2807,1177,39,2403,1063,779,1124,499,1877,2645,2501,2542,2585,2370,2386,1914,2690
33,2034,3208,3763,6664,1749,4553,73,1439,1069,1965,158,158,6625,851,205,2734,22
34,2882,1915,2577,3053,1749,1706,73,1923,2930,1965,2190,3053,3053,2792,1923,3077,318
35,2882,636,5149,6623,1749,1618,362,2577,3125,1965,2385,70,2742,587,811,3077,2719
36,2807,1177,2910,953,2043,2494,399,50,1697,2112,2809,2910,2113,1315,1697,578,1315
37,2807,2064,2910,953,1257,1302,3227,1217,2976,2911,2313,1959,2113,1306,1697,1994,493
38,1232,3227,2334,493,1257,1497,2670,3136,2976,2759,1259,493,501,2182,2113,454,493
39,2807,1223,2562,1801,978,2727,745,3443,682,1381,2563,406,1452,1393,1498,2914,22
40,2807,2314,3114,1801,917,3261,1124,1579,682,830,2563,406,395,1035,3282,1354,2073
41,3404,228,1258,3541,917,3261,1599,840,682,2518,1326,406,3182,3282,3282,3432,2690
42,2807,1498,2554,1512,157,779,2783,2264,2495,2645,2501,1073,2585,623,1117,2914,1265
43,2807,2314,3526,1801,1199,1669,1124,132,9,2645,2501,1338,795,623,15,1333,1265
44,2807,2314,1038,1801,157,1669,1124,814,9,2645,2501,1073,2585,623,1117,190,1906
45,3404,1379,420,3400,917,2627,3417,3145,635,1593,693,1338,2585,2370,524,976,258
46,2807,2437,3124,2340,917,2736,1134,74,3418,1908,932,486,2731,2516,606,182,22
47,2807,2219,1602,1498,3362,2736,1124,776,3383,343,11,486,745,1279,2736,182,2821
48,3266,787,1642,63,890,2008,101,2830,120,2008,2536,2536,3407,2820,2536,2005,3407
49,2807,3356,3124,3407,890,2008,1435,2830,120,733,2536,3407,3407,3407,2536,2005,3407
50,2399,787,1642,63,890,2008,101,2830,2536,2008,2536,2536,3407,2820,2536,2005,3407
51,2882,2642,1642,63,890,2008,1435,951,2755,2008,2536,3407,3403,3407,2536,2005,3407
52,1149,2642,1642,2072,890,2008,1435,951,598,2008,1755,3407,3403,3407,124,1819,3407
53,2882,123,420,2372,890,2008,1435,2830,2755,2780,638,579,3403,3407,124,1819,3035
54,3404,1461,3435,1975,890,1302,1560,1217,233,3003,2809,3244,1902,1306,1123,1223,493
55,3266,2467,1336,6440,3657,5254,896,3919,2976,1468,6295,5109,2113,1306,3657,5460,493
56,1814,3227,1774,6664,890,2894,1966,741,2184,3272,2501,3244,941,1306,1697,3108,493
57,1149,3728,2545,1801,3520,3045,745,1459,9,2190,2190,915,1502,1973,1030,833,246
58,2882,1628,1336,1975,1737,779,1966,1504,921,1747,2501,3087,941,2370,3246,2950,3031
59,1232,2318,1223,1801,3520,3045,2916,648,9,2645,2501,2281,165,623,2820,1333,258
60,1149,946,1377,1367,2315,1706,2917,2315,86,1190,2591,2428,94,1527,3192,399,3359
61,1149,894,1377,1715,2428,2542,2571,2315,2542,2586,2809,2542,1902,134,3192,2428,2428
62,2882,946,2577,833,928,578,1124,2939,833,539,2190,2509,1962,1527,1697,578,459
63,2882,2314,2940,1364,890,2627,3417,19,2570,1512,3106,398,795,1898,1752,833,701
64,1149,2624,100,1315,2442,2736,595,973,9,2928,170,2281,2585,680,524,833,1253
65,2807,2314,100,2072,3031,2627,3417,19,635,3031,2567,1338,795,680,680,1914,3031
66,2882,285,2940,1792,2594,2826,1350,1525,3418,2949,965,1391,262,3345,3014,2086,2949
67,3404,4,2035,1445,2846,1986,1740,479,3226,2949,965,1391,161,3345,3300,3131,1232
68,2551,1461,2151,5375,2151,1335,1740,479,689,1740,3166,2292,1586,869,2131,1740,1455
69,1814,480,2035,5346,2097,2262,2192,884,2140,2949,5346,1455,311,1547,1250,3131,2949
70,3266,3818,2035,1590,2097,2262,488,2097,2097,2236,311,2284,311,2236,2086,3131,2949
71,2807,1453,2035,3405,3154,3171,1740,884,2097,2949,965,1391,1838,156,3014,1194,2949
72,2807,1177,39,1503,2442,1338,3417,530,2464,2352,2501,1338,341,623,2163,2352,1253
73,585,1227,2554,2081,889,2494,4917,1867,40,1733,1139,341,1337,623,2163,2833,1253
74,2807,30,3481,2681,1984,2557,2557,25,2464,3356,1779,1925,2431,997,1552,1357,1253
75,2807,293,3124,275,2163,2494,997,1891,40,1733,1779,2163,147,858,2163,2163,1253
76,585,2314,3124,2583,2442,2736,977,1891,40,1733,1779,1779,2431,2163,2163,2833,1253
77,585,1446,690,2681,1984,2214,977,68,40,228,1779,1779,977,2163,2163,798,1253
78,3404,1446,943,1119,1816,3127,1816,3136,1996,1770,3127,2290,3104,1853,1552,2881,3190
79,2807,872,943,2145,1984,3127,1816,3136,1208,3521,1624,827,3104,1853,1552,2881,3190
80,3404,1446,1258,2997,3236,3127,1816,3136,1208,3521,1976,1976,1191,1853,1992,2881,496
81,2530,2624,2423,2289,2609,1840,73,2893,2277,2771,2168,2852,1483,2588,3527,2734,318
82,2807,196,1775,1108,72,505,2571,2315,2120,1468,2809,2120,2120,1659,2884,3201,944
83,2807,196,1775,3541,72,505,2571,2315,2120,1468,2809,2120,2120,1659,3192,3201,944
84,2807,1461,1650,5375,2151,1986,1740,2525,689,1740,965,2913,1572,1963,1581,1194,129
85,1232,4,4813,2708,2151,1986,1740,2525,689,1740,965,1797,1572,1963,1581,1581,1525
86,1814,4,2035,5375,2151,1986,1740,1194,689,2949,965,2913,1572,1963,1800,1194,129
87,1232,1335,2157,5375,2981,768,488,67,2157,67,309,34,32,2590,1800,178,2981
88,3404,724,2157,5375,5141,1335,1740,479,2292,1740,5346,3766,3496,1637,1800,1740,2981
89,3404,645,2668,3020,2981,768,488,67,2157,67,309,34,3496,34,1800,379,2981
90,1814,1453,2594,2605,965,2826,1740,2097,320,2949,965,1391,1572,156,320,1194,816
91,1814,4,2035,5375,2151,1986,1740,884,2215,1740,965,2215,1572,156,1411,1740,1740
92,1814,3227,1774,2810,2097,694,2192,884,2140,2949,965,1391,161,3345,3345,3000,1753
93,2882,345,2577,3053,1749,2908,73,2908,97,1965,4473,1039,1483,2588,628,2734,12
94,2882,4638,6272,6664,5431,3552,5261,97,3519,2771,2265,1039,1483,2588,2006,2734,12
95,2882,952,722,6664,128,961,2804,473,77,1311,2265,2852,1483,1231,1239,1239,12
96,2882,1376,6272,3527,128,961,628,1705,3519,1039,2265,1039,1483,2588,2006,2734,12
97,2882,1376,1772,3527,128,330,628,2908,3519,1039,2265,1039,1483,2588,628,2734,12
98,2882,3839,2577,6179,1749,961,73,3346,3519,1311,2265,1039,1483,1231,2006,2734,12
99,2882,1087,2545,923,1749,1903,3291,2261,299,1684,1348,3244,3309,2639,3309,1092,2851
100,2882,4115,1258,1119,3404,2651,3291,1402,2184,1684,2107,923,3309,2658,1634,534,175
101,2882,3208,1758,923,1749,2651,362,2577,299,1684,2385,1949,3309,222,2385,1358,175
102,3266,3227,1336,1975,890,779,1966,132,213,1747,2501,1073,165,2803,2403,1333,2202
103,2807,1498,372,1715,1457,779,363,132,363,1468,2809,1730,1457,2209,1177,3278,2561
104,2807,1498,39,1760,1257,1302,2982,1217,1860,2112,2809,2803,2518,1306,2403,3278,2403
105,3404,2872,2668,1050,2617,710,855,2558,3399,3069,836,929,501,2009,1716,1322,1685
106,3404,1227,3481,885,562,710,855,2762,3399,733,3166,929,3498,3399,1716,2214,1685
107,3404,1461,3481,1050,3327,710,855,2762,3399,1014,2203,929,501,653,3473,1322,1685
108,3404,645,989,5375,5141,2262,2524,479,2157,2949,309,1455,32,1637,2086,3131,1753
109,1814,4,161,5375,584,2262,1740,479,3226,2949,46,3766,161,1547,2247,854,2949
110,3404,1189,2497,5375,5141,2262,2524,479,3226,2097,309,1455,161,1637,1800,854,1753
111,2807,2437,2156,2340,917,2550,1124,3284,1062,2690,776,486,3431,1306,490,979,3328
112,2882,872,2024,493,1994,2826,3227,490,3418,1908,2107,486,2370,1946,490,1134,493
113,3404,872,3517,2340,1749,3362,1134,1217,1062,1908,2107,406,2731,1946,490,1466,2340
114,2807,2314,100,1512,2479,2736,3417,973,635,3459,1865,1338,7022,1865,3459,976,1915
115,2807,1381,3114,2340,3520,2736,1124,613,745,569,2190,3087,43,2591,43,1214,1915
116,2807,2314,3114,1498,1877,1338,1124,973,635,3199,166,3087,165,1527,205,976,1915
117,2807,1381,1068,2189,1068,2264,1054,2264,233,2237,515,1872,1872,1872,3387,1145,650
118,3404,2093,3051,3428,374,2968,2982,1217,233,371,1259,3466,501,2164,3003,1145,99
119,3404,1498,1846,3428,562,752,1054,1217,233,371,515,639,243,2370,3003,650,650
120,3404,872,1258,4554,562,222,2295,243,501,1508,2701,3466,2029,1306,3003,1092,3350
121,2807,1715,2545,2596,157,2542,2571,631,2472,2840,2563,786,3182,3373,205,1220,1003
122,2807,1381,2910,3428,109,2264,2295,2264,233,2237,1535,3037,2070,786,1030,1535,3350
123,2807,2064,1068,1760,1257,3261,43,2315,682,2112,2563,406,2944,134,3425,1994,1599
124,2807,1381,1258,1119,2442,2736,3417,2463,1062,2759,1431,551,2113,2869,2632,2776,493
125,3266,1486,1257,1843,3520,3261,2611,2315,682,1649,2563,406,2113,134,3425,2636,2690
126,2882,3325,100,164,890,138,1036,138,1166,2756,770,3087,138,244,2597,833,2409
127,2807,1498,420,2372,890,2627,3417,19,327,3367,1127,1338,795,3002,524,59,1722
128,2807,1498,420,2072,917,2627,3417,19,327,1908,3417,1338,795,3002,524,976,1253
129,585,2314,1760,1119,917,220,220,3443,3512,220,1779,1091,1682,558,510,190,2367
130,585,1446,3481,2681,1685,1340,2286,704,3512,3188,30,1340,795,2623,1972,1972,3307
131,2807,2314,2545,1119,220,220,1435,3443,1062,220,1779,3443,1303,1820,2163,1466,2367
132,3404,3227,2236,2500,2097,2500,488,1707,315,2284,32,2284,32,2284,1414,178,2981
133,1232,213,2035,5375,2097,2262,884,2097,2097,2097,309,1391,714,3168,948,854,1753
134,1232,1343,1414,2708,584,2826,714,884,2097,2949,965,1391,714,156,2178,854,2949
135,1675,3818,1336,493,493,5981,2038,2038,2976,2759,3155,493,2113,2182,490,1466,493
136,1084,1498,518,1801,220,2627,595,3443,1062,2518,2567,406,795,19,1087,1466,3022
137,2882,1630,1336,6440,1257,5981,2038,841,2976,2759,841,5109,2113,2869,1697,1994,493
