ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16
0,6349,703,1739,720,455,100,1233,1909,2560,2811,424,1233,1782,2811,424,424,424
1,2530,2198,1739,720,455,455,1233,1909,2560,310,424,2560,1782,2811,1782,2811,424
2,2530,3353,84,3053,2061,1840,2409,1909,3209,1840,1734,1233,888,1734,2172,888,2811
3,2530,293,1739,2075,1024,637,1605,1862,312,894,3211,2135,39,680,359,3444,2732
4,2530,3353,1176,1035,2745,637,458,399,703,2692,2904,2910,703,1837,2910,2910,389
5,12,3353,1739,720,1024,578,2620,3211,1222,3256,3393,2509,2736,2736,2736,3444,3444
6,6349,293,779,720,455,3195,2620,1286,2310,1837,1477,1073,795,795,2386,1427,2386
7,2530,293,1739,720,1024,578,1526,2118,1723,2530,1526,1526,1526,1723,3120,1526,370
8,6349,703,2114,720,2061,2399,1858,1275,1504,2288,2211,3442,286,455,3459,419,286
9,6349,703,1119,1590,1483,2920,362,2495,1038,3518,3480,1920,2755,2559,185,5714,3102
10,6349,6635,629,4661,660,2361,978,1525,2098,1989,4476,4146,5166,1128,2865,2755,3480
11,6349,293,1739,720,2061,2211,2792,2906,84,2906,123,596,2559,1705,3660,5714,2734
12,12,1039,2114,3053,2061,2530,73,3484,1978,776,128,821,1318,1460,2804,473,3441
13,12,5739,4455,3053,1483,1226,2792,1923,821,1513,1524,1513,821,1524,1524,3441,1524
14,12,1039,2114,3053,2061,2530,1858,613,3214,3391,128,821,1318,265,265,1460,3441
15,6349,3353,1739,3053,1483,2530,2249,1909,1471,2906,6164,41,41,310,1239,1239,1239
16,12,1039,1734,852,2061,1239,2249,3484,1915,3484,128,1883,1483,2588,6164,824,346
17,12,1039,84,1789,2061,1239,1858,1909,824,2906,1311,310,2730,310,310,2608,424
18,6349,703,1739,720,455,3149,1722,2399,2377,2196,976,976,2969,539,455,2969,745
19,6349,703,1176,720,2061,100,100,2399,1930,3256,3256,56,3420,852,56,56,56
20,2530,3353,1739,720,2061,455,1233,1909,2111,3256,852,56,86,852,2061,976,2934
21,6349,4278,629,1012,1136,1950,476,1950,2643,3188,3289,1398,1398,1398,1398,4103,3289
22,6349,1335,629,4661,1242,2361,4149,5507,1225,423,3578,5994,4554,4554,4782,4350,5254
23,6349,4278,629,1017,1136,1950,476,1916,1385,2159,1916,1225,4554,1398,5383,4103,1398
24,6349,703,2994,1760,2594,593,458,2628,2628,2146,3089,1525,3089,3089,3089,3089,3089
25,6349,293,1739,3053,2061,637,2620,2603,1525,1525,1525,1525,3089,3089,3369,3089,3089
26,6349,703,779,1590,1483,1302,1609,1525,1525,2146,2603,2634,3089,3089,2865,3025,3089
27,12,703,2114,2075,2061,3195,2620,252,427,2311,133,3045,530,3506,973,2676,896
28,6349,6896,157,1760,2745,2737,33,363,2443,2156,960,1756,960,552,3124,1942,30
29,6349,703,2994,720,1483,578,2620,467,1447,1400,776,2108,286,2620,1693,79,3461
30,6349,4278,5937,1760,1535,2737,458,1862,2621,894,1063,1730,170,1177,2737,1223,2907
31,6349,6896,157,1760,1535,3195,2620,1164,680,894,2904,1535,1715,1837,1535,680,2075
32,6349,6896,157,1760,1535,2737,1722,2963,312,1076,3211,1730,170,389,2737,894,170
33,6349,1335,629,6289,1483,1850,3985,2755,2335,1069,4688,3996,5915,4811,6995,4852,5976
34,1403,5739,4147,3053,1483,2530,2227,1923,851,1190,696,2990,2742,696,2990,3391,318
35,1403,2125,4147,6183,1483,673,5521,6555,2335,257,696,1706,3153,1522,1693,1949,1949
36,6349,703,157,1760,1024,637,458,399,703,340,1980,2043,2043,340,340,3024,2863
37,6349,703,157,6289,22,593,1609,399,703,1118,292,2043,2910,1000,1503,2424,1959
38,6349,4278,629,1760,1136,3408,3030,1378,3495,1612,861,1437,796,3394,2098,2583,1612
39,6349,6896,5937,1760,1535,2737,978,1862,2946,1333,2515,2241,568,568,3442,568,568
40,6349,703,157,1760,2594,2737,2620,680,2946,1535,1377,1073,2995,467,467,11,673
41,6349,4278,629,1760,2745,637,2686,2428,8,2518,2241,1577,840,1599,94,2375,2375
42,2530,703,629,1760,2745,2737,1605,2963,599,1076,2198,1073,1260,2254,15,2198,2545
43,6349,703,1739,1760,2745,2737,33,2963,2314,2435,3049,1073,360,2254,1647,2198,1305
44,6349,703,1119,1760,1535,2737,458,1862,2435,894,3049,1073,2169,499,830,2922,2807
45,6349,703,779,1760,1535,3149,1722,1935,420,3002,2627,2474,2474,932,2775,2775,2474
46,6349,6896,5937,1760,2745,3149,1605,2753,1495,2196,2196,3456,2196,2453,2469,693,3332
47,6349,703,1739,2075,1024,3195,2620,680,2377,2620,2904,1672,530,1279,2341,455,2624
48,2530,703,1176,720,2594,3195,1526,1985,2377,2620,2730,2233,3407,3407,265,3315,1149
