ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17
0,679,601,437,569,156,53,53,53,53,53,53,53,53,53,53,53,53,53
1,660,44,636,505,251,53,53,53,53,53,53,53,53,53,53,53,53,53
2,36,208,346,129,53,263,495,53,53,53,91,53,53,91,53,53,53,53
3,260,457,3,364,366,347,347,347,347,347,347,347,347,347,347,347,347,347
4,462,417,88,23,347,7,35,347,347,270,347,347,347,347,347,347,347,347
5,203,782,570,131,131,347,347,347,347,347,347,347,347,347,347,347,347,347
6,98,805,255,263,281,404,192,256,140,140,65,170,140,65,65,65,174,290
7,213,444,792,251,297,339,132,325,132,7,7,42,36,346,131,131,131,346
8,12,685,148,281,671,191,191,191,12,30,251,251,30,308,366,30,202,251
9,26,192,515,520,192,192,154,261,261,261,261,261,261,261,261,261,261,261
10,111,673,71,576,33,678,678,678,678,129,129,123,690,647,647,690,610,610
11,181,356,506,207,281,283,283,283,225,263,263,261,261,261,261,261,261,261
12,788,114,367,784,15,134,15,15,15,15,15,15,15,15,15,15,15,15
13,147,722,638,539,620,595,87,15,572,134,87,321,87,253,253,15,15,15
14,468,486,523,45,245,273,15,15,15,15,15,15,15,15,15,15,15,15
15,116,101,711,283,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,203,496,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,624,211,547,613,257,203,203,203,390,225,225,225,203,203,203,203,203,203
18,205,395,283,96,95,257,231,231,231,231,231,231,231,231,231,231,231,231
19,443,43,323,295,194,231,231,231,231,231,231,231,231,231,231,231,231,231
20,255,491,714,53,53,257,231,231,231,231,231,231,231,231,231,231,231,231
21,171,180,807,93,240,368,368,368,368,368,368,368,368,368,368,368,368,368
22,139,248,427,595,20,618,647,142,368,368,240,368,368,368,368,240,240,368
23,431,155,204,271,271,154,368,368,368,368,368,368,368,368,368,368,368,368
24,593,683,58,384,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,2,215,427,283,21,101,80,80,80,80,80,80,80,80,80,80,80,80
26,100,420,742,104,21,80,80,80,80,80,80,80,80,80,80,80,80,80
27,623,345,495,216,75,231,378,323,323,323,323,323,323,323,323,323,323,323
28,689,60,271,65,131,131,14,256,323,323,323,323,323,323,323,323,323,323
29,618,323,485,712,178,182,41,323,263,323,312,323,323,323,323,323,323,323
30,527,527,574,215,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,114,650,130,170,187,245,245,245,245,245,245,245,245,245,245,245,245,245
32,243,121,383,267,31,245,245,245,245,245,245,245,245,245,245,245,245,245
33,189,581,570,747,12,196,142,142,142,142,196,656,656,656,142,656,656,656
34,809,157,321,19,36,100,100,100,321,321,321,321,321,321,321,321,321,321
35,475,126,390,751,647,671,665,569,251,390,321,321,321,321,321,321,321,321
36,600,292,286,339,30,40,287,184,270,270,270,270,270,270,270,270,270,270
37,293,142,278,44,120,119,205,119,591,40,780,628,628,40,533,218,438,757
38,630,32,704,107,183,163,469,72,104,45,104,795,347,735,735,308,347,308
39,238,695,237,570,165,367,309,166,166,166,166,166,166,166,166,166,166,166
40,610,110,224,178,24,360,166,166,166,166,166,166,166,166,166,166,166,166
41,255,493,545,69,659,697,605,217,166,166,166,166,166,166,166,166,166,166
42,400,79,610,310,28,28,28,268,268,31,31,28,28,28,28,28,28,28
43,639,237,297,231,79,79,31,31,28,28,28,28,28,28,28,28,28,28
44,347,28,245,137,28,28,28,28,28,28,28,28,28,28,28,28,28,188
45,762,429,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,704,72,107,197,166,323,130,130,130,130,130,130,130,130,130,130,130,130
47,395,340,84,279,22,70,91,206,257,206,162,162,130,162,130,162,147,130
48,573,314,477,84,22,161,161,161,161,161,161,161,161,161,161,161,161,161
49,668,526,137,624,195,103,103,161,161,161,161,161,161,161,161,161,161,161
50,385,78,23,309,281,161,161,161,161,161,161,161,161,161,161,161,161,161
51,339,78,131,281,23,59,202,207,207,207,207,207,207,207,207,207,207,207
52,803,556,251,328,94,202,207,202,103,103,103,207,207,207,207,207,207,207
53,747,102,580,378,281,207,161,12,207,207,207,207,207,207,207,207,207,207
54,705,379,633,300,159,338,61,16,16,16,16,16,16,16,16,16,16,16
55,16,645,615,541,735,735,16,114,114,114,114,114,678,16,114,16,734,53
56,288,143,115,676,314,293,16,338,16,16,16,16,16,16,16,16,16,16
57,629,154,68,184,312,194,362,362,367,440,367,367,367,367,367,367,367,367
58,189,778,488,348,667,108,145,145,145,145,145,145,140,145,145,140,145,145
59,519,206,229,400,117,195,31,31,367,197,367,367,367,367,197,367,367,367
60,705,19,143,36,372,395,367,36,19,95,95,95,95,95,95,95,95,95
61,250,287,693,95,367,372,287,287,570,270,248,95,95,95,95,95,95,95
62,753,314,277,109,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,380,86,379,632,147,379,58,174,58,174,174,174,174,174,174,174,174,174
64,728,334,187,366,174,366,174,174,174,174,174,174,174,174,174,174,174,174
65,265,309,281,6,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,769,790,0,20,206,66,66,403,403,66,66,66,66,66,66,66,66,66
67,352,393,742,140,420,151,66,393,393,393,393,517,517,517,517,151,74,133
68,126,421,807,14,99,393,66,66,66,66,66,123,66,66,66,66,66,66
69,74,95,658,548,89,376,738,373,555,113,376,5,222,317,168,5,196,222
70,694,724,805,45,376,293,123,123,181,181,181,259,222,222,222,222,222,222
71,222,659,382,137,222,222,222,222,222,222,222,222,222,222,222,222,222,222
72,142,64,549,360,96,179,179,278,290,65,136,136,136,136,136,28,136,28
73,393,642,348,598,370,377,377,374,363,118,363,363,363,118,27,27,275,27
74,429,262,250,387,392,156,171,171,65,171,310,244,209,209,354,209,209,27
75,630,208,385,192,339,106,252,252,192,21,21,8,239,106,8,8,8,8
76,282,335,396,684,42,184,237,392,310,270,270,8,111,7,371,391,391,8
77,201,324,516,537,33,77,373,8,8,8,8,8,8,8,8,8,8,16
78,65,38,153,348,173,38,223,74,6,74,38,38,38,359,38,299,148,299
79,159,332,213,749,11,38,74,647,366,338,173,38,38,38,38,38,38,38
80,345,288,159,729,344,298,298,2,25,298,2,38,38,38,38,38,38,38
81,649,511,329,346,346,283,273,147,273,391,273,391,391,391,391,100,100,100
82,394,719,373,437,132,98,98,98,98,98,98,98,98,98,98,98,98,98
83,193,673,215,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,551,380,164,748,380,393,393,393,393,393,393,393,393,393,393,393,393,393
85,393,66,393,393,393,393,393,87,41,476,153,476,153,476,476,153,153,703
86,44,393,195,393,393,317,393,276,276,276,177,205,259,259,41,259,205,136
87,376,420,376,403,376,259,376,376,376,376,376,376,376,376,376,376,376,376
88,222,393,403,168,236,66,376,5,236,671,671,177,393,285,376,276,276,376
89,650,151,747,153,401,317,209,735,735,133,338,338,338,99,99,99,421,543
90,318,15,317,259,13,133,66,133,133,44,378,133,44,296,296,296,99,339
91,277,517,114,14,99,168,99,55,99,99,99,99,99,99,99,99,99,99
92,504,286,221,394,376,196,123,159,159,159,159,222,99,99,99,159,99,99
93,612,722,115,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,248,425,500,665,312,409,86,86,86,86,86,86,86,86,86,86,86,86
95,656,656,417,400,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,107,273,273,264,216,273,273,273,273,273,273,273,273,273,273,273,273,273
97,451,334,462,58,657,273,273,139,177,273,273,273,273,273,273,273,273,273
98,469,3,36,139,273,576,576,273,576,576,273,273,576,273,273,273,273,273
99,552,804,601,595,86,191,398,398,398,398,398,398,398,398,398,398,398,398
100,688,432,406,537,625,773,339,140,214,762,762,468,762,339,398,398,398,398
101,510,398,794,794,671,794,257,335,671,195,671,211,160,398,211,398,398,567
102,188,698,13,578,734,353,3,353,353,353,353,336,367,31,353,367,353,353
103,364,135,410,669,392,388,255,255,140,140,140,140,140,140,140,140,140,140
104,559,536,440,379,184,184,14,14,224,40,187,14,58,202,58,202,308,140
105,761,320,553,646,209,209,167,365,365,369,545,284,513,545,467,129,777,129
106,56,121,694,229,108,285,129,176,172,229,176,176,176,176,176,176,176,176
107,121,338,130,363,63,198,63,71,96,34,96,137,176,40,137,17,71,137
108,445,157,126,692,376,259,259,259,67,67,67,67,67,67,67,67,67,67
109,211,578,295,211,403,376,108,126,100,67,196,376,67,67,67,67,67,67
110,650,750,322,606,317,123,67,67,67,67,67,67,67,67,67,67,67,67
111,345,555,333,32,293,20,118,286,286,286,286,286,286,286,286,286,286,505
112,575,125,376,14,103,286,286,286,660,20,286,286,286,286,20,286,20,286
113,515,286,388,205,483,44,286,286,286,286,286,286,286,286,286,286,286,286
114,312,418,105,366,213,347,347,131,131,131,131,131,131,131,131,131,131,131
115,331,339,104,287,306,306,295,555,339,75,75,231,75,131,131,131,131,131
116,466,87,93,295,206,93,131,131,131,131,131,131,131,131,131,131,131,131
117,32,25,14,368,287,71,71,71,71,71,71,71,71,71,71,71,71,71
118,354,348,85,234,282,322,365,365,365,365,365,365,365,365,365,365,365,365
119,159,339,630,388,60,333,365,365,365,371,365,365,365,365,365,365,365,365
120,477,693,411,313,205,180,593,32,235,224,379,384,379,384,384,384,690,285
121,328,54,326,520,111,111,384,384,384,384,384,384,384,384,384,384,384,384
122,526,206,525,673,212,779,68,658,483,483,658,483,119,483,583,385,585,490
123,320,616,681,31,33,14,14,14,14,388,270,341,341,341,341,341,341,685
124,306,680,590,325,20,357,23,179,141,99,99,323,323,108,232,20,20,20
125,747,469,157,125,41,184,40,188,188,231,231,231,231,36,341,341,341,98
126,105,573,79,203,103,319,308,241,182,241,115,115,115,241,367,241,115,257
127,203,778,208,318,399,88,88,88,88,88,88,88,88,88,88,88,88,88
128,137,807,136,561,310,400,88,88,88,88,88,88,88,88,88,88,88,88
129,93,549,171,358,104,171,171,171,171,171,171,171,171,171,171,171,171,171
130,332,215,578,507,217,217,171,171,171,171,171,171,171,171,171,171,171,139
