Model	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspresnet50	222	-1	0.0	15.453	4.362	1.598	0.0	13.58	4.041	1.436
eca_resnet33ts	222	-1	0.0	4.832	27.453	5.841	0.0	4.164	26.265	5.506
densenet121	222	-1	0.0	9.966	6.333	1.553	0.0	8.683	5.96	1.416
densenetblur121d	222	-1	0.0	9.9	5.842	1.467	0.0	8.656	5.294	1.332
eca_resnext26ts	222	-1	0.0	5.186	27.274	4.762	0.0	4.374	25.473	4.346
ecaresnet26t	222	-1	0.0	5.081	5.811	1.143	0.0	5.526	5.342	1.079
densenet169	222	-1	0.0	10.608	4.239	1.191	0.0	9.416	4.065	1.102
ecaresnet50d	222	-1	0.0	5.016	7.168	1.198	0.0	5.068	6.516	1.097
ecaresnet101d_pruned	222	-1	0.0	5.029	5.248	0.908	0.0	4.963	4.953	0.857
cspresnext50	222	-1	0.0	15.715	5.7	1.954	0.0	14.471	5.323	1.763
dpn68	222	-1	0.0	5.946	7.359	1.64	0.0	5.723	6.823	1.529
dpn68b	222	-1	0.0	5.946	7.359	1.64	0.0	5.723	6.823	1.529
eca_nfnet_l0	222	-1	0.0	4.479	9.321	1.839	0.0	4.885	8.286	1.548
eca_nfnet_l1	222	-1	0.0	4.034	12.583	2.259	0.0	4.439	11.389	1.929
dm_nfnet_f0	222	-1	0.0	4.57	11.826	2.412	0.0	4.413	10.525	2.05
efficientnet_el_pruned	222	-1	0.0	11.551	3.286	1.175	0.0	8.892	3.199	1.099
efficientnetv2_rw_t	222	-1	0.0	8.159	33.119	10.836	0.0	7.53	31.24	9.837
ese_vovnet39b	222	-1	0.0	11.734	2.751	0.938	0.0	10.974	2.636	0.877
gluon_resnet101_v1d	222	-1	0.0	4.963	5.376	0.977	0.0	5.12	5.026	0.931
gluon_resnet18_v1b	222	-1	0.0	5.88	9.801	1.983	0.0	5.684	9.09	1.834
eca_resnext26ts	222	0	0.0	4.898	37.663	10.784	0.0	4.597	35.562	10.492
cspresnet50	222	0	0.0	2.279	19.52	2.244	0.0	2.187	19.03	1.789
ecaresnet26t	222	0	0.0	4.597	26.085	5.918	0.0	4.204	25.106	5.648
densenet121	222	0	0.0	4.872	22.839	5.864	0.0	3.641	23.278	5.328
cspresnext50	222	0	0.0	1.65	24.157	1.9	0.0	1.572	23.74	1.543
densenetblur121d	222	0	0.0	4.767	27.443	6.728	0.0	3.981	27.472	6.827
eca_resnet33ts	222	0	0.0	3.706	36.687	8.168	0.0	3.431	35.298	7.684
